Gene ID,Gene Name or Symbol,Product Description
CNAG_02099,N/A,"fatty acid synthase subunit beta, fungi type"
CNAG_02100,N/A,"fatty acid synthase subunit alpha, fungi type"
CNAG_02101,N/A,hypothetical protein
CNAG_02102,N/A,hypothetical protein
CNAG_02103,N/A,hypothetical protein
CNAG_02104,N/A,phosphatidylinositol transfer protein SFH5
CNAG_02105,N/A,methylated-DNA-protein-cysteine methyltransferase
CNAG_02106,N/A,mitochondrial intermembrane space import and assembly protein 40
CNAG_02107,N/A,hypothetical protein
CNAG_02108,N/A,GTPase activating protein
CNAG_02109,N/A,"type I inositol-1,4,5-trisphosphate 5- phosphatase 1"
CNAG_02110,N/A,peptide alpha-N-acetyltransferase
CNAG_02111,N/A,protein Clp1
CNAG_02112,N/A,ubiquitin-conjugating enzyme E2 W
CNAG_02113,N/A,clathrin assembly protein
CNAG_02114,N/A,hypothetical protein
CNAG_02115,N/A,"Non-histone chromosomal protein 6, putative"
CNAG_02116,N/A,arf/Sar family protein
CNAG_02117,N/A,NAD-binding Rossmann fold oxidoreductase
CNAG_02118,N/A,hypothetical protein
CNAG_02119,N/A,hypothetical protein
CNAG_02120,N/A,TIGR01456 family HAD hydrolase
CNAG_02121,N/A,hypothetical protein
CNAG_02122,N/A,cytoplasmic tRNA 2-thiolation protein 1
CNAG_02123,N/A,methionyl-tRNA formyltransferase
CNAG_02124,N/A,hypothetical protein
CNAG_02125,N/A,hypothetical protein
CNAG_02126,N/A,hypothetical protein
CNAG_02127,N/A,cyclin-dependent protein kinase regulator
CNAG_02128,N/A,translation initiation factor 3 subunit J
CNAG_02129,N/A,hypothetical protein
CNAG_02130,N/A,RNA-binding protein 39
CNAG_02131,N/A,iron-sulfur cluster assembly protein
CNAG_02132,N/A,hypothetical protein
CNAG_02133,N/A,6-phosphogluconolactonase
CNAG_02134,N/A,rsc chromatin remodeling complex subunit
CNAG_02135,N/A,protein transporter SEC20
CNAG_02136,N/A,small subunit ribosomal protein S6
CNAG_02137,N/A,hypothetical protein
CNAG_02138,N/A,DNA replication ATP-dependent helicase dna2
CNAG_02139,N/A,oxysterol-binding protein
CNAG_02140,N/A,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12
CNAG_02141,N/A,hypothetical protein
CNAG_02143,N/A,"hypothetical protein, variant"
CNAG_02144,N/A,large subunit ribosomal protein L1-A
CNAG_02145,N/A,hypothetical protein
CNAG_02146,N/A,hypothetical protein
CNAG_02147,N/A,cytochrome c peroxidase
CNAG_02148,N/A,ubiquitin-conjugating enzyme E2 35
CNAG_02149,N/A,hypothetical protein
CNAG_02150,N/A,mRNA methyltransferase
CNAG_02151,N/A,amidohydrolase
CNAG_02152,N/A,hypothetical protein
CNAG_02153,N/A,glucose repression regulatory protein TUP1
CNAG_02154,N/A,anaphase-promoting complex subunit 6
CNAG_02155,N/A,hypothetical protein
CNAG_02156,N/A,hypothetical protein
CNAG_02157,N/A,hypothetical protein
CNAG_02159,N/A,hypothetical protein
CNAG_02160,N/A,hypothetical protein
CNAG_02161,N/A,Inositol heptakisphosphate kinase
CNAG_02162,N/A,U3 small nucleolar RNA-associated protein 24
CNAG_02163,N/A,hypothetical protein
CNAG_02164,N/A,hypothetical protein
CNAG_02165,N/A,cytoplasmic protein
CNAG_02166,N/A,DNA-directed RNA polymerase II subunit RPB1
CNAG_02167,N/A,vacuolar protein sorting-associated protein 27
CNAG_02168,N/A,Glucoamylase
CNAG_02169,N/A,hypothetical protein
CNAG_02170,N/A,hypothetical protein
CNAG_02171,N/A,DNA polymerase eta subunit
CNAG_02172,N/A,ubiquitin-protein ligase
CNAG_02173,N/A,transporter particle component
CNAG_02174,N/A,signal recognition particle protein SRP54
CNAG_02175,N/A,5'-3' exoribonuclease 1
CNAG_02176,N/A,hypothetical protein
CNAG_02177,N/A,serine/threonine-protein phosphatase PP2A catalytic subunit
CNAG_02178,N/A,hypothetical protein
CNAG_02179,N/A,Hemolysin
CNAG_02180,N/A,phosphate transporter
CNAG_02181,N/A,dihydrokaempferol 4-reductase
CNAG_02182,N/A,D-lactaldehyde dehydrogenase
CNAG_02183,N/A,anaphase-promoting complex subunit 1
CNAG_02184,N/A,hypothetical protein
CNAG_02185,N/A,nuclear protein
CNAG_02186,N/A,myosin regulatory light chain
CNAG_02187,N/A,terbinafine resistance locus protein
CNAG_02188,N/A,hypothetical protein
CNAG_02189,N/A,Alpha-amylase
CNAG_02190,N/A,hypothetical protein
CNAG_02191,N/A,hypothetical protein
CNAG_02192,N/A,hypothetical protein
CNAG_02193,N/A,"kinetochore protein Spc25, fungi type"
CNAG_02194,N/A,AGC/NDR protein kinase
CNAG_02195,N/A,origin recognition complex subunit 1
CNAG_02196,N/A,septin
CNAG_02197,N/A,hypothetical protein
CNAG_02198,N/A,mitochondrial inner membrane protease ATP23
CNAG_02199,N/A,hypothetical protein
CNAG_02200,N/A,hypothetical protein
CNAG_02201,N/A,hypothetical protein
CNAG_02202,N/A,Adenylylsulfate kinase
CNAG_02203,N/A,karyopherin/importin that interacts with the nuclear pore complex
CNAG_02204,N/A,"endonuclease G, mitochondrial"
CNAG_02205,N/A,pH-response regulator protein palC
CNAG_02206,N/A,hypothetical protein
CNAG_02207,N/A,hypothetical protein
CNAG_02208,N/A,ribonucleoside-diphosphate reductase large subunit
CNAG_02209,N/A,nucleolar protein 56
CNAG_02210,N/A,ribonuclease Z
CNAG_02211,N/A,hypothetical protein
CNAG_02212,N/A,translation initiation factor 3 subunit A
CNAG_02213,N/A,epsin
CNAG_02214,N/A,ubiquitin-conjugating enzyme E2 J1
CNAG_02215,N/A,transcriptional activator
CNAG_02216,N/A,hypothetical protein
CNAG_02217,N/A,Chitin synthase
CNAG_02218,N/A,hypothetical protein
CNAG_02219,N/A,hypothetical protein
CNAG_02220,N/A,hypothetical protein
CNAG_02221,N/A,"solute carrier family 39 (zinc transporter), member 9"
CNAG_02222,N/A,phosphopantothenate-cysteine ligase
CNAG_02223,N/A,signal sequence binding protein
CNAG_02224,N/A,"hypothetical protein, variant"
CNAG_02225,N/A,"glucan 1,3-beta-glucosidase"
CNAG_02226,N/A,hypothetical protein
CNAG_02227,N/A,hypothetical protein
CNAG_02228,N/A,hypothetical protein
CNAG_02229,N/A,protein farnesyltransferase alpha subunit
CNAG_02230,N/A,phosphoketolase
CNAG_02231,N/A,cytosolic Fe-S cluster assembly factor NBP35
CNAG_02232,N/A,RNA polymerase II-associated factor 1
CNAG_02233,N/A,serine/threonine-protein kinase ATR
CNAG_02234,N/A,large subunit ribosomal protein L6e
CNAG_02235,N/A,hypothetical protein
CNAG_02236,N/A,type 2a-like serine/threonine-protein phosphatase
CNAG_02237,N/A,actin cortical patch component
CNAG_02238,N/A,ubiquitin-conjugating enzyme E2 G2
CNAG_02239,N/A,26S protease regulatory subunit 4
CNAG_02240,N/A,cytoplasmic protein
CNAG_02241,N/A,hypothetical protein
CNAG_02253,N/A,"hypothetical protein, variant 2"
CNAG_02254,N/A,quinate permease
CNAG_02255,N/A,BNR/Asp-box repeat family protein
CNAG_02257,N/A,GTP-binding nuclear protein spi1
CNAG_02258,N/A,hypothetical protein
CNAG_02259,N/A,tRNA-dihydrouridine synthase 2
CNAG_02260,N/A,xap5-domain-containing protein
CNAG_02261,N/A,hypothetical protein
CNAG_02262,N/A,ATP-binding cassette transporter
CNAG_02263,N/A,hypothetical protein
CNAG_02264,N/A,AFG1-family ATPase
CNAG_02265,N/A,exportin-T
CNAG_02266,N/A,NADH-quinone oxidoreductase subunit B 2
CNAG_02267,N/A,cell cycle arrest protein BUB3
CNAG_02268,N/A,nuclear membrane protein
CNAG_02269,N/A,autophagy-like protein 18 Atg18
CNAG_02270,N/A,homoserine O-acetyltransferase
CNAG_02280,N/A,hypothetical protein
CNAG_02281,N/A,hypothetical protein
CNAG_02282,N/A,carboxypeptidase A4
CNAG_02283,N/A,Glucoamylase
CNAG_02284,N/A,"2-oxoisovalerate dehydrogenase E1 component, alpha subunit"
CNAG_02285,N/A,nucleoside diphosphate kinase
CNAG_02286,N/A,cytoplasmic protein
CNAG_02287,N/A,hypothetical protein
CNAG_02288,N/A,"solute carrier family 25 (mitochondrial citrate transporter), member 1"
CNAG_02289,N/A,rab family protein
CNAG_02290,N/A,parafibromin
CNAG_02291,N/A,DASH complex subunit DAM1
CNAG_02292,N/A,copper chaperone
CNAG_02293,N/A,"hypothetical protein, variant"
CNAG_02294,N/A,phosphoribosylaminoimidazole carboxylase
CNAG_02295,N/A,phosphotransferase enzyme family protein
CNAG_02296,N/A,ATP-binding protein
CNAG_02297,N/A,hypothetical protein
CNAG_02298,N/A,niemann-Pick C1 protein
CNAG_02299,N/A,hypothetical protein
CNAG_02300,N/A,hypothetical protein
CNAG_02301,N/A,lupus La protein
CNAG_02302,N/A,"hypothetical protein, variant"
CNAG_02303,N/A,pre-mRNA-splicing factor ATP-dependent RNA helicase prp16
CNAG_02304,N/A,mitochondrial distribution and morphology protein 34
CNAG_02305,N/A,hypothetical protein
CNAG_02306,N/A,molybdopterin binding domain-containing protein
CNAG_02307,N/A,L-serine ammonia-lyase
CNAG_02308,N/A,hypothetical protein
CNAG_02309,N/A,FK506-binding protein 2
CNAG_02310,N/A,casein kinase II subunit beta
CNAG_02311,N/A,hypothetical protein
CNAG_02312,N/A,patatin-like phospholipase domain-containing protein
CNAG_02313,N/A,"hypothetical protein, variant"
CNAG_02314,N/A,hypothetical protein
CNAG_02315,N/A,"ubiquinol-cytochrome c reductase, iron-sulfur subunit"
CNAG_02316,N/A,hypothetical protein
CNAG_02317,N/A,protein arginine N-methyltransferase 3
CNAG_02318,N/A,"hypothetical protein, variant"
CNAG_02319,N/A,hypothetical protein
CNAG_02321,N/A,hypothetical protein
CNAG_02322,N/A,hypothetical protein
CNAG_02323,N/A,hypothetical protein
CNAG_02324,N/A,hypothetical protein
CNAG_02325,N/A,mitochondrial protein
CNAG_02326,N/A,V-type proton ATPase catalytic subunit A
CNAG_02327,N/A,xaa-Pro dipeptidase
CNAG_02328,N/A,pre-rRNA-processing protein TSR1
CNAG_02330,N/A,large subunit ribosomal protein L21e
CNAG_02331,N/A,small subunit ribosomal protein S9
CNAG_02332,N/A,hypothetical protein
CNAG_02333,N/A,hypothetical protein
CNAG_02334,N/A,hypothetical protein
CNAG_02335,N/A,hypothetical protein
CNAG_02336,N/A,hypothetical protein
CNAG_02337,N/A,Uracil phosphoribosyltransferase
CNAG_02338,N/A,cellular nucleic acid-binding protein
CNAG_02339,N/A,hypothetical protein
CNAG_02340,N/A,hypothetical protein
CNAG_02341,N/A,cyclin binding protein
CNAG_02342,N/A,hypothetical protein
CNAG_02343,N/A,hypothetical protein
CNAG_02344,N/A,Uracil phosphoribosyltransferase
CNAG_02345,N/A,Polycomb protein EED
CNAG_02347,N/A,hypothetical protein
CNAG_02348,N/A,hypothetical protein
CNAG_02349,N/A,hypothetical protein
CNAG_02350,N/A,hypothetical protein
CNAG_02351,N/A,endochitinase
CNAG_02353,N/A,betaine lipid synthase
CNAG_02354,N/A,large subunit ribosomal protein L2
CNAG_02355,N/A,"solute carrier family 35 (UDP-xylose/UDP-N- acetylglucosamine transporter), member B4"
CNAG_02356,N/A,"phosphatidylinositol glycan, class F"
CNAG_02357,N/A,STE/STE7/MKK protein kinase
CNAG_02358,N/A,MRP family ATP-binding protein
CNAG_02359,N/A,small subunit ribosomal protein S25e
CNAG_02360,N/A,hypothetical protein
CNAG_02361,N/A,"MFS transporter, ACS family, pantothenate transporter"
CNAG_02362,N/A,hypothetical protein
CNAG_02363,N/A,SCR1 protein
CNAG_02364,N/A,hypothetical protein
CNAG_02365,N/A,Amidase
CNAG_02366,N/A,4-aminobutyrate aminotransferase
CNAG_02367,N/A,GTP-binding protein ypt3
CNAG_02368,N/A,hypothetical protein
CNAG_02371,N/A,coiled-coil domain-containing protein 130
CNAG_02372,N/A,enoyl reductase
CNAG_02373,N/A,ATP-binding protein
CNAG_02374,N/A,hypothetical protein
CNAG_02375,N/A,polyphosphoinositide phosphatase
CNAG_02376,N/A,Identified spore protein 2
CNAG_02377,N/A,Aldehyde dehydrogenase
CNAG_02378,N/A,H/ACA ribonucleoprotein complex subunit 2
CNAG_02381,N/A,hypothetical protein
CNAG_02382,N/A,ribosome biogenesis protein BRX1
CNAG_02383,N/A,trimethylguanosine synthase
CNAG_02384,N/A,hypothetical protein
CNAG_02385,N/A,DNA primase small subunit
CNAG_02386,N/A,hypothetical protein
CNAG_02387,N/A,hypothetical protein
CNAG_02388,N/A,hypothetical protein
CNAG_02389,N/A,AGC protein kinase
CNAG_02392,N/A,hypothetical protein
CNAG_02393,N/A,hypothetical protein
CNAG_02394,N/A,hypothetical protein
CNAG_02395,N/A,ubiquitin carboxyl-terminal hydrolase 9/13
CNAG_02396,N/A,hypothetical protein
CNAG_02397,N/A,hypothetical protein
CNAG_02398,N/A,hypothetical protein
CNAG_02399,N/A,glutathione-disulfide reductase
CNAG_02400,N/A,hypothetical protein
CNAG_02401,N/A,G patch domain-containing protein 1
CNAG_02402,N/A,hypothetical protein
CNAG_02403,N/A,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9
CNAG_02404,N/A,nuclear segregation protein Bfr1
CNAG_02405,N/A,hypothetical protein
CNAG_02406,N/A,cell division control protein 45
CNAG_02407,N/A,Phospholipase D
CNAG_02408,N/A,hypothetical protein
CNAG_02409,N/A,hypothetical protein
CNAG_02412,N/A,rRNA-processing protein CGR1
CNAG_02413,N/A,hypothetical protein
CNAG_02414,N/A,hypothetical protein
CNAG_02415,N/A,annexin XIV
CNAG_02416,N/A,hypothetical protein
CNAG_02417,N/A,lipase/esterase
CNAG_02418,N/A,asparagine-tRNA ligase
CNAG_02419,N/A,hypothetical protein
CNAG_02420,N/A,hypothetical protein
CNAG_02421,N/A,hypothetical protein
CNAG_02422,N/A,hypothetical protein
CNAG_02423,N/A,hypothetical protein
CNAG_02424,N/A,hypothetical protein
CNAG_02425,N/A,hypothetical protein
CNAG_02426,N/A,pre-mRNA-splicing factor syf1
CNAG_02427,N/A,"hypothetical protein, variant"
CNAG_02428,N/A,GC-rich sequence DNA-binding factor
CNAG_02429,N/A,hypothetical protein
CNAG_02430,N/A,ABC transporter ABCC.6
CNAG_02431,N/A,TatD DNase
CNAG_02432,N/A,hypothetical protein
CNAG_02433,N/A,thiol oxidase
CNAG_02434,N/A,Copper transport protein ATX1
CNAG_02435,N/A,white collar 2 protein
CNAG_02436,N/A,hypothetical protein
CNAG_02437,N/A,rRNA biogenesis protein RRP5
CNAG_02438,N/A,hypothetical protein
CNAG_02439,N/A,hypothetical protein
CNAG_02440,N/A,cation-transporting ATPase
CNAG_02441,N/A,hypothetical protein
CNAG_02442,N/A,hypothetical protein
CNAG_02443,N/A,NADH dehydrogenase
CNAG_02444,N/A,hypothetical protein
CNAG_02445,N/A,Phosphoacetylglucosamine mutase
CNAG_02446,N/A,response regulator receiver protein
CNAG_02447,N/A,hypothetical protein
CNAG_02448,N/A,hypothetical protein
CNAG_02449,N/A,long-chain fatty acid CoA ligase
CNAG_02452,N/A,hypothetical protein
CNAG_02453,N/A,hypothetical protein
CNAG_02454,N/A,H/ACA ribonucleoprotein complex non-core subunit NAF1
CNAG_02455,N/A,choline transporter
CNAG_02457,N/A,importin beta-2 subunit
CNAG_02458,N/A,GTPase activating protein
CNAG_02459,N/A,Atypical/ABC1/ABC1-A protein kinase
CNAG_02460,N/A,coproporphyrinogen III oxidase
CNAG_02463,N/A,hypothetical protein
CNAG_02464,N/A,5-oxoprolinase (ATP-hydrolysing)
CNAG_02465,N/A,allantoate permease
CNAG_02466,N/A,hypothetical protein
CNAG_02467,N/A,DNA repair/transcription protein MET18/MMS19
CNAG_02468,N/A,AP-3 complex subunit delta-1
CNAG_02469,N/A,cytoplasmic protein
CNAG_02470,N/A,phosphoric monoester hydrolase
CNAG_02471,N/A,hypothetical protein
CNAG_02472,N/A,endosomal P24A protein
CNAG_02473,N/A,endoplasmic reticulum protein
CNAG_02475,N/A,Flavin-containing monooxygenase
CNAG_02476,N/A,putative transcription factor
CNAG_02477,N/A,hypothetical protein
CNAG_02478,N/A,Glycerol dehydrogenase
CNAG_02479,N/A,Monosaccharide transporter
CNAG_02480,N/A,cell cycle checkpoint control protein RAD9A
CNAG_02481,N/A,vacuolar protein
CNAG_02482,N/A,translation machinery-associated protein 22
CNAG_02483,N/A,hypothetical protein
CNAG_02484,N/A,peptidyl-prolyl cis-trans isomerase
CNAG_02485,N/A,"ATP synthase F1, gamma subunit"
CNAG_02486,N/A,translation initiation factor 2 subunit 2
CNAG_02487,N/A,3-hydroxy acyl-CoA dehydratase
CNAG_02488,N/A,methionyl-tRNA formyltransferase
CNAG_02489,N/A,"alcohol dehydrogenase, propanol-preferring"
CNAG_02490,N/A,DNA repair protein MRE11
CNAG_02491,N/A,nuclear protein
CNAG_02492,N/A,peptidyl-prolyl cis-trans isomerase-like 3
CNAG_02493,N/A,hypothetical protein
CNAG_02494,N/A,carboxypeptidase D
CNAG_02495,N/A,cytoplasmic protein
CNAG_02496,N/A,hypothetical protein
CNAG_02497,N/A,thaumatin family protein
CNAG_02498,N/A,hypothetical protein
CNAG_02499,N/A,hypothetical protein
CNAG_02500,N/A,calnexin
CNAG_02501,N/A,hypothetical protein
CNAG_02502,N/A,ATP-dependent RNA helicase DBP3
CNAG_02503,N/A,Glutathione peroxidase
CNAG_02504,N/A,hypothetical protein
CNAG_02505,N/A,cardiolipin-specific phospholipase
CNAG_02506,N/A,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
CNAG_02507,N/A,translation initiation factor 3 subunit H
CNAG_02508,N/A,hypothetical protein
CNAG_02509,N/A,hypothetical protein
CNAG_02510,N/A,hypothetical protein
CNAG_02511,N/A,Calcium-dependent protein kinase 1
CNAG_02512,N/A,DNA repair protein RAD16
CNAG_02514,N/A,hypothetical protein
CNAG_02515,N/A,hypothetical protein
CNAG_02516,N/A,hypothetical protein
CNAG_02517,N/A,hypothetical protein
CNAG_02519,N/A,mitochondria fission 1 protein
CNAG_02520,N/A,DNA-directed RNA polymerase III subunit RPC4
CNAG_02521,N/A,hypothetical protein
CNAG_02522,N/A,"solute carrier family 25 (mitochondrial iron transporter), member 28/37"
CNAG_02523,N/A,hypothetical protein
CNAG_02524,N/A,hypothetical protein
CNAG_02525,N/A,hypothetical protein
CNAG_02526,N/A,hypothetical protein
CNAG_02527,N/A,multidrug transporter
CNAG_02528,N/A,hypothetical protein
CNAG_02529,N/A,hypothetical protein
CNAG_02530,N/A,hypothetical protein
CNAG_02531,N/A,Calcium-dependent protein kinase 2
CNAG_02532,N/A,D-amino-acid oxidase
CNAG_02533,N/A,hypothetical protein
CNAG_02534,N/A,tRNA 2'-phosphotransferase
CNAG_02535,N/A,hypothetical protein
CNAG_02536,N/A,transcription initiation factor TFIID subunit 6
CNAG_02537,N/A,hypothetical protein
CNAG_02538,N/A,hypothetical protein
CNAG_02539,N/A,AAT family amino acid transporter
CNAG_02540,N/A,hypothetical protein
CNAG_02541,N/A,cyclin-dependent protein kinase inhibitor
CNAG_02542,N/A,fructosamine kinase
CNAG_02543,N/A,hypothetical protein
CNAG_02544,N/A,DNA repair protein Swi5/Sae3
CNAG_02545,N/A,Inorganic pyrophosphatase
CNAG_02546,N/A,transferase
CNAG_02547,N/A,nuclear pore complex protein Nup205
CNAG_02548,N/A,cobalamin synthesis protein
CNAG_02549,N/A,hypothetical protein
CNAG_02550,N/A,hypothetical protein
CNAG_02551,N/A,dihydroxyacetone kinase 1
CNAG_02552,N/A,transketolase
CNAG_02553,N/A,Short-chain dehydrogenase
CNAG_02554,N/A,Sugar transporter
CNAG_02555,N/A,Putative Zn2-Cys6 zinc-finger transcription factor
CNAG_02556,N/A,phytanoyl-CoA dioxygenase
CNAG_02557,N/A,fungal specific transcription factor
CNAG_02558,N/A,hypothetical protein
CNAG_02561,N/A,spermine transporter
CNAG_02562,N/A,acyl-CoA dehydrogenase
CNAG_02563,N/A,DNA polymerase delta subunit 1
CNAG_02564,N/A,tRNA-splicing endonuclease subunit Sen54
CNAG_02565,N/A,"homoaconitase, mitochondrial"
CNAG_02566,N/A,hepatocyte nuclear factor
CNAG_02567,N/A,hypothetical protein
CNAG_02568,N/A,UBA/TS-N domain-containing protein
CNAG_02569,N/A,hypothetical protein
CNAG_02570,N/A,hypothetical protein
CNAG_02572,N/A,hypothetical protein
CNAG_02573,N/A,hypothetical protein
CNAG_02574,N/A,cofactor D
CNAG_02575,N/A,Rab small monomeric GTPase
CNAG_02576,N/A,hypothetical protein
CNAG_02577,N/A,oxidoreductase
CNAG_02578,N/A,thyroid hormone receptor interactor 13
CNAG_02579,N/A,ARID-containing regulator of virulence traits and carbon assimilation
CNAG_02580,N/A,hypothetical protein
CNAG_02581,N/A,capsular associated protein
CNAG_02582,N/A,hypothetical protein
CNAG_02583,N/A,tRNA (guanine10-N2)-methyltransferase
CNAG_02584,N/A,serine/threonine-protein phosphatase 2A activator 1
CNAG_02585,N/A,hypothetical protein
CNAG_02586,N/A,Sugar transporter
CNAG_02587,N/A,alfa-L-rhamnosidase
CNAG_02588,N/A,avenacinase
CNAG_02589,N/A,hypothetical protein
CNAG_02590,N/A,3-hydroxyisobutyrate dehydrogenase
CNAG_02591,N/A,hypothetical protein
CNAG_02592,N/A,thioredoxin reductase GliT
CNAG_02593,N/A,hypothetical protein
CNAG_02594,N/A,hypothetical protein
CNAG_02595,N/A,hypothetical protein
CNAG_02596,N/A,hypothetical protein
CNAG_02597,N/A,hypothetical protein
CNAG_02598,N/A,Chitinase
CNAG_02599,N/A,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
CNAG_02600,N/A,tartrate transporter
CNAG_02601,N/A,hypothetical protein
CNAG_02602,N/A,flavonol synthase
CNAG_02603,N/A,early growth response protein 1
CNAG_02604,N/A,hypothetical protein
CNAG_02605,N/A,tbc1 domain family protein
CNAG_02606,N/A,hypothetical protein
CNAG_02609,N/A,3-demethylubiquinone-9 3-O-methyltransferase
CNAG_02654,N/A,DNA polymerase epsilon catalytic subunit A
CNAG_02655,N/A,hypothetical protein
CNAG_02656,N/A,translation machinery-associated protein 20
CNAG_02657,N/A,translation initiation factor 3 subunit G
CNAG_02658,N/A,hypothetical protein
CNAG_02659,N/A,"hypothetical protein, variant"
CNAG_02660,N/A,hypothetical protein
CNAG_02661,N/A,Identified spore protein 4
CNAG_02662,N/A,cysteine protease atg4
CNAG_02663,N/A,ribonucleoside-diphosphate reductase subunit M2
CNAG_02664,N/A,D-lactate dehydrogenase
CNAG_02665,N/A,hypothetical protein
CNAG_02666,N/A,hypothetical protein
CNAG_02667,N/A,hypothetical protein
CNAG_02670,N/A,bud emergence protein 1
CNAG_02671,N/A,pre-mRNA-splicing factor cef1
CNAG_02672,N/A,nonsense-mediated mRNA decay protein 3
CNAG_02673,N/A,NAD dependent epimerase/dehydratase
CNAG_02674,N/A,hypothetical protein
CNAG_02675,N/A,CAMK/CAMKL/GIN4 protein kinase
CNAG_02676,N/A,"Vacuolar morphogenesis protein 7, putative"
CNAG_02677,N/A,cytoplasmic protein
CNAG_02678,N/A,hypothetical protein
CNAG_02679,N/A,mitochondrial distribution and morphology protein 31
CNAG_02680,N/A,VPS15 protein kinase
CNAG_02681,N/A,Phytase
CNAG_02682,N/A,hypothetical protein
CNAG_02683,N/A,hypothetical protein
CNAG_02684,N/A,hypothetical protein
CNAG_02685,N/A,hypothetical protein
CNAG_02686,N/A,Cystathionine beta-lyase
CNAG_02687,N/A,hypothetical protein
CNAG_02688,N/A,hypothetical protein
CNAG_02689,N/A,hypothetical protein
CNAG_02690,N/A,pirin
CNAG_02691,N/A,hypothetical protein
CNAG_02692,N/A,nitroreductase
CNAG_02693,N/A,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
CNAG_02694,N/A,hypothetical protein
CNAG_02695,N/A,hypothetical protein
CNAG_02696,N/A,exocyst protein
CNAG_02697,N/A,hypothetical protein
CNAG_02698,N/A,hypothetical protein
CNAG_02699,N/A,hypothetical protein
CNAG_02700,N/A,C2H2 type zinc finger transcription factor
CNAG_02701,N/A,hypothetical protein
CNAG_02702,N/A,putative voltage-gated chloride channel
CNAG_02703,N/A,hypothetical protein
CNAG_02704,N/A,hypothetical protein
CNAG_02705,N/A,hypothetical protein
CNAG_02706,N/A,hypothetical protein
CNAG_02707,N/A,hypothetical protein
CNAG_02708,N/A,prenylcysteine oxidase/farnesylcysteine lyase
CNAG_02709,N/A,small subunit ribosomal protein S19
CNAG_02710,N/A,T-complex protein 1 subunit gamma
CNAG_02711,N/A,hypothetical protein
CNAG_02712,N/A,BUD32 protein kinase
CNAG_02713,N/A,hypothetical protein
CNAG_02714,N/A,elongation factor 1-beta
CNAG_02715,N/A,"alpha-1,6-mannosyltransferase"
CNAG_02716,N/A,hypothetical protein
CNAG_02717,N/A,aryl-alcohol dehydrogenase
CNAG_02718,N/A,NAD binding dehydrogenase
CNAG_02719,N/A,hypothetical protein
CNAG_02720,N/A,nuclear GTP-binding protein
CNAG_02721,N/A,leucine repeat containing protein
CNAG_02722,N/A,aldose reductase
CNAG_02723,N/A,hypothetical protein
CNAG_02724,N/A,hypothetical protein
CNAG_02725,N/A,20S proteasome subunit beta 2
CNAG_02726,N/A,cytoplasmic protein
CNAG_02727,N/A,"similar to Avo2, Tor2 kinase component"
CNAG_02728,N/A,peroxin-13
CNAG_02729,N/A,hypothetical protein
CNAG_02730,N/A,sorting nexin-41
CNAG_02733,N/A,Monosaccharide transporter
CNAG_02734,N/A,hypothetical protein
CNAG_02735,N/A,hypothetical protein
CNAG_02736,N/A,T-complex protein 1 subunit theta
CNAG_02737,N/A,hypothetical protein
CNAG_02738,N/A,hypothetical protein
CNAG_02739,N/A,hypothetical protein
CNAG_02740,N/A,hypothetical protein
CNAG_02741,N/A,mitochondrial intermediate peptidase 1
CNAG_02742,N/A,dicer-like protein 1
CNAG_02744,N/A,hypothetical protein
CNAG_02745,N/A,dicer-like protein 2
CNAG_02747,N/A,chaperone protein DNAJ
CNAG_02748,N/A,UTP-glucose-1-phosphate uridylyltransferase
CNAG_02749,N/A,histone-lysine N-methyltransferase SUV420H
CNAG_02750,N/A,hypothetical protein
CNAG_02751,N/A,Short-chain dehydrogenase
CNAG_02752,N/A,Short-chain dehydrogenase
CNAG_02753,N/A,endoplasmic reticulum protein
CNAG_02754,N/A,small subunit ribosomal protein S12e
CNAG_02755,N/A,hypothetical protein
CNAG_02756,N/A,geranylgeranyl transferase type-1 subunit beta
CNAG_02757,N/A,hypothetical protein
CNAG_02758,N/A,NADH:flavin oxidoreductase/NADH oxidase
CNAG_02759,N/A,hypothetical protein
CNAG_02760,N/A,hypothetical protein
CNAG_02761,N/A,inorganic phosphate transporter PHO88
CNAG_02762,N/A,F-type H -transporting ATPase subunit G
CNAG_02763,N/A,"phenylalanine-tRNA ligase, beta subunit"
CNAG_02764,N/A,"ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein"
CNAG_02765,N/A,3-hydroxyisobutyrate dehydrogenase
CNAG_02766,N/A,hypothetical protein
CNAG_02767,N/A,transcription initiation factor TFIIE subunit alpha
CNAG_02768,N/A,hypothetical protein
CNAG_02769,N/A,hypothetical protein
CNAG_02770,N/A,transcription initiation factor TFIID subunit 11
CNAG_02771,N/A,DNA repair and recombination protein RAD54B
CNAG_02772,N/A,hypothetical protein
CNAG_02773,N/A,exosome complex exonuclease Rrp6
CNAG_02774,N/A,Fungal Zn(2)-Cys(6) binuclear cluster domain protein
CNAG_02775,N/A,BCS-inducible membrane protein
CNAG_02776,N/A,hypothetical protein
CNAG_02777,N/A,phosphate:H symporter
