GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Coccidioides posadasii,SOIL_578-1_A_NEW_CPA0048,SOIL_578-1_A_NEW_CPA0048.pep.fa,SOIL_578-1_A_NEW_CPA0048.dna.fa,SOIL_578-1_A_NEW_CPA0048.gff3,SOIL_578-1_A_NEW_CPA0048,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_580-1_L_NEW_CPA0055,SOIL_580-1_L_NEW_CPA0055.pep.fa,SOIL_580-1_L_NEW_CPA0055.dna.fa,SOIL_580-1_L_NEW_CPA0055.gff3,SOIL_580-1_L_NEW_CPA0055,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_580-2_L_NEW_CPA0060,SOIL_580-2_L_NEW_CPA0060.pep.fa,SOIL_580-2_L_NEW_CPA0060.dna.fa,SOIL_580-2_L_NEW_CPA0060.gff3,SOIL_580-2_L_NEW_CPA0060,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_580-4_L_NEW_CPA0062,SOIL_580-4_L_NEW_CPA0062.pep.fa,SOIL_580-4_L_NEW_CPA0062.dna.fa,SOIL_580-4_L_NEW_CPA0062.gff3,SOIL_580-4_L_NEW_CPA0062,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_604-1_L_OLD_CPA066,SOIL_604-1_L_OLD_CPA066.pep.fa,SOIL_604-1_L_OLD_CPA066.dna.fa,SOIL_604-1_L_OLD_CPA066.gff3,SOIL_604-1_L_OLD_CPA066,Coccidioides posadasii
OUT,Coccidioides posadasii,S_670,S_670.pep.fa,S_670.dna.fa,S_670.gff3,S_670,Coccidioides posadasii
OUT,Coccidioides posadasii,S_671,S_671.pep.fa,S_671.dna.fa,S_671.gff3,S_671,Coccidioides posadasii
OUT,Coccidioides posadasii,S_672,S_672.pep.fa,S_672.dna.fa,S_672.gff3,S_672,Coccidioides posadasii
OUT,Coccidioides posadasii,S_673,S_673.pep.fa,S_673.dna.fa,S_673.gff3,S_673,Coccidioides posadasii
OUT,Coccidioides posadasii,S_674,S_674.pep.fa,S_674.dna.fa,S_674.gff3,S_674,Coccidioides posadasii
OUT,Coccidioides posadasii,S_675,S_675.pep.fa,S_675.dna.fa,S_675.gff3,S_675,Coccidioides posadasii
OUT,Coccidioides posadasii,S_676,S_676.pep.fa,S_676.dna.fa,S_676.gff3,S_676,Coccidioides posadasii
OUT,Coccidioides posadasii,S_739,S_739.pep.fa,S_739.dna.fa,S_739.gff3,S_739,Coccidioides posadasii
OUT,Coccidioides posadasii,S_740,S_740.pep.fa,S_740.dna.fa,S_740.gff3,S_740,Coccidioides posadasii
OUT,Coccidioides posadasii,S_741,S_741.pep.fa,S_741.dna.fa,S_741.gff3,S_741,Coccidioides posadasii
OUT,Coccidioides posadasii,S_742,S_742.pep.fa,S_742.dna.fa,S_742.gff3,S_742,Coccidioides posadasii
OUT,Coccidioides posadasii,San_Antonio_1,San_Antonio_1.pep.fa,San_Antonio_1.dna.fa,San_Antonio_1.gff3,San_Antonio_1,Coccidioides posadasii
IN,Coccidioides immitis,San_Diego_1,San_Diego_1.pep.fa,San_Diego_1.dna.fa,San_Diego_1.gff3,San_Diego_1,Coccidioides immitis
OUT,Coccidioides posadasii,Sonora_1,Sonora_1.pep.fa,Sonora_1.dna.fa,Sonora_1.gff3,Sonora_1,Coccidioides posadasii
OUT,Coccidioides posadasii,Sonora_2,Sonora_2.pep.fa,Sonora_2.dna.fa,Sonora_2.gff3,Sonora_2,Coccidioides posadasii
OUT,Coccidioides posadasii,TX1,TX1.pep.fa,TX1.dna.fa,TX1.gff3,TX1,Coccidioides posadasii
OUT,Coccidioides posadasii,TX11,TX11.pep.fa,TX11.dna.fa,TX11.gff3,TX11,Coccidioides posadasii
OUT,Coccidioides posadasii,TX12,TX12.pep.fa,TX12.dna.fa,TX12.gff3,TX12,Coccidioides posadasii
OUT,Coccidioides posadasii,TX14,TX14.pep.fa,TX14.dna.fa,TX14.gff3,TX14,Coccidioides posadasii
OUT,Coccidioides posadasii,TX17,TX17.pep.fa,TX17.dna.fa,TX17.gff3,TX17,Coccidioides posadasii
OUT,Coccidioides posadasii,TX2,TX2.pep.fa,TX2.dna.fa,TX2.gff3,TX2,Coccidioides posadasii
OUT,Coccidioides posadasii,TX3,TX3.pep.fa,TX3.dna.fa,TX3.gff3,TX3,Coccidioides posadasii
OUT,Coccidioides posadasii,TX4,TX4.pep.fa,TX4.dna.fa,TX4.gff3,TX4,Coccidioides posadasii
OUT,Coccidioides posadasii,TX5,TX5.pep.fa,TX5.dna.fa,TX5.gff3,TX5,Coccidioides posadasii
OUT,Coccidioides posadasii,TX6,TX6.pep.fa,TX6.dna.fa,TX6.gff3,TX6,Coccidioides posadasii
OUT,Coccidioides posadasii,TX8,TX8.pep.fa,TX8.dna.fa,TX8.gff3,TX8,Coccidioides posadasii
OUT,Coccidioides posadasii,TX9,TX9.pep.fa,TX9.dna.fa,TX9.gff3,TX9,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_1,Tucson_1.pep.fa,Tucson_1.dna.fa,Tucson_1.gff3,Tucson_1,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_10,Tucson_10.pep.fa,Tucson_10.dna.fa,Tucson_10.gff3,Tucson_10,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_11,Tucson_11.pep.fa,Tucson_11.dna.fa,Tucson_11.gff3,Tucson_11,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_12,Tucson_12.pep.fa,Tucson_12.dna.fa,Tucson_12.gff3,Tucson_12,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_13,Tucson_13.pep.fa,Tucson_13.dna.fa,Tucson_13.gff3,Tucson_13,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_14,Tucson_14.pep.fa,Tucson_14.dna.fa,Tucson_14.gff3,Tucson_14,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_15,Tucson_15.pep.fa,Tucson_15.dna.fa,Tucson_15.gff3,Tucson_15,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_16,Tucson_16.pep.fa,Tucson_16.dna.fa,Tucson_16.gff3,Tucson_16,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_17,Tucson_17.pep.fa,Tucson_17.dna.fa,Tucson_17.gff3,Tucson_17,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_18,Tucson_18.pep.fa,Tucson_18.dna.fa,Tucson_18.gff3,Tucson_18,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_19,Tucson_19.pep.fa,Tucson_19.dna.fa,Tucson_19.gff3,Tucson_19,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_2,Tucson_2.pep.fa,Tucson_2.dna.fa,Tucson_2.gff3,Tucson_2,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_20,Tucson_20.pep.fa,Tucson_20.dna.fa,Tucson_20.gff3,Tucson_20,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_21,Tucson_21.pep.fa,Tucson_21.dna.fa,Tucson_21.gff3,Tucson_21,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_22,Tucson_22.pep.fa,Tucson_22.dna.fa,Tucson_22.gff3,Tucson_22,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_23,Tucson_23.pep.fa,Tucson_23.dna.fa,Tucson_23.gff3,Tucson_23,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_24,Tucson_24.pep.fa,Tucson_24.dna.fa,Tucson_24.gff3,Tucson_24,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_3,Tucson_3.pep.fa,Tucson_3.dna.fa,Tucson_3.gff3,Tucson_3,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_4,Tucson_4.pep.fa,Tucson_4.dna.fa,Tucson_4.gff3,Tucson_4,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_5,Tucson_5.pep.fa,Tucson_5.dna.fa,Tucson_5.gff3,Tucson_5,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_6,Tucson_6.pep.fa,Tucson_6.dna.fa,Tucson_6.gff3,Tucson_6,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_7,Tucson_7.pep.fa,Tucson_7.dna.fa,Tucson_7.gff3,Tucson_7,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_8,Tucson_8.pep.fa,Tucson_8.dna.fa,Tucson_8.gff3,Tucson_8,Coccidioides posadasii
OUT,Coccidioides posadasii,Tucson_9,Tucson_9.pep.fa,Tucson_9.dna.fa,Tucson_9.gff3,Tucson_9,Coccidioides posadasii
OUT,Coccidioides posadasii,UCSF_10AZ,UCSF_10AZ.pep.fa,UCSF_10AZ.dna.fa,UCSF_10AZ.gff3,UCSF_10AZ,Coccidioides posadasii
OUT,Coccidioides posadasii,UCSF_3490AZ,UCSF_3490AZ.pep.fa,UCSF_3490AZ.dna.fa,UCSF_3490AZ.gff3,UCSF_3490AZ,Coccidioides posadasii
OUT,Coccidioides posadasii,UCSF_5AZ,UCSF_5AZ.pep.fa,UCSF_5AZ.dna.fa,UCSF_5AZ.gff3,UCSF_5AZ,Coccidioides posadasii
OUT,Coccidioides posadasii,UCSF_9AZ,UCSF_9AZ.pep.fa,UCSF_9AZ.dna.fa,UCSF_9AZ.gff3,UCSF_9AZ,Coccidioides posadasii
OUT,Coccidioides posadasii,UCSF_Cp_Silveira,UCSF_Cp_Silveira.pep.fa,UCSF_Cp_Silveira.dna.fa,UCSF_Cp_Silveira.gff3,UCSF_Cp_Silveira,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_20380X1,UTAH_20380X1.pep.fa,UTAH_20380X1.dna.fa,UTAH_20380X1.gff3,UTAH_20380X1,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_20380X10,UTAH_20380X10.pep.fa,UTAH_20380X10.dna.fa,UTAH_20380X10.gff3,UTAH_20380X10,Coccidioides immitis
IN,Coccidioides immitis,UTAH_20380X16,UTAH_20380X16.pep.fa,UTAH_20380X16.dna.fa,UTAH_20380X16.gff3,UTAH_20380X16,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_20380X2,UTAH_20380X2.pep.fa,UTAH_20380X2.dna.fa,UTAH_20380X2.gff3,UTAH_20380X2,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_20380X5,UTAH_20380X5.pep.fa,UTAH_20380X5.dna.fa,UTAH_20380X5.gff3,UTAH_20380X5,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X111,UTAH_23742X111.pep.fa,UTAH_23742X111.dna.fa,UTAH_23742X111.gff3,UTAH_23742X111,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X12,UTAH_23742X12.pep.fa,UTAH_23742X12.dna.fa,UTAH_23742X12.gff3,UTAH_23742X12,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X123,UTAH_23742X123.pep.fa,UTAH_23742X123.dna.fa,UTAH_23742X123.gff3,UTAH_23742X123,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X138,UTAH_23742X138.pep.fa,UTAH_23742X138.dna.fa,UTAH_23742X138.gff3,UTAH_23742X138,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X144,UTAH_23742X144.pep.fa,UTAH_23742X144.dna.fa,UTAH_23742X144.gff3,UTAH_23742X144,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X153,UTAH_23742X153.pep.fa,UTAH_23742X153.dna.fa,UTAH_23742X153.gff3,UTAH_23742X153,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X160,UTAH_23742X160.pep.fa,UTAH_23742X160.dna.fa,UTAH_23742X160.gff3,UTAH_23742X160,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X162,UTAH_23742X162.pep.fa,UTAH_23742X162.dna.fa,UTAH_23742X162.gff3,UTAH_23742X162,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X163,UTAH_23742X163.pep.fa,UTAH_23742X163.dna.fa,UTAH_23742X163.gff3,UTAH_23742X163,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X165,UTAH_23742X165.pep.fa,UTAH_23742X165.dna.fa,UTAH_23742X165.gff3,UTAH_23742X165,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X168,UTAH_23742X168.pep.fa,UTAH_23742X168.dna.fa,UTAH_23742X168.gff3,UTAH_23742X168,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X170,UTAH_23742X170.pep.fa,UTAH_23742X170.dna.fa,UTAH_23742X170.gff3,UTAH_23742X170,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X18,UTAH_23742X18.pep.fa,UTAH_23742X18.dna.fa,UTAH_23742X18.gff3,UTAH_23742X18,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X189,UTAH_23742X189.pep.fa,UTAH_23742X189.dna.fa,UTAH_23742X189.gff3,UTAH_23742X189,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X19,UTAH_23742X19.pep.fa,UTAH_23742X19.dna.fa,UTAH_23742X19.gff3,UTAH_23742X19,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X195,UTAH_23742X195.pep.fa,UTAH_23742X195.dna.fa,UTAH_23742X195.gff3,UTAH_23742X195,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X199,UTAH_23742X199.pep.fa,UTAH_23742X199.dna.fa,UTAH_23742X199.gff3,UTAH_23742X199,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X205,UTAH_23742X205.pep.fa,UTAH_23742X205.dna.fa,UTAH_23742X205.gff3,UTAH_23742X205,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X206,UTAH_23742X206.pep.fa,UTAH_23742X206.dna.fa,UTAH_23742X206.gff3,UTAH_23742X206,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X208,UTAH_23742X208.pep.fa,UTAH_23742X208.dna.fa,UTAH_23742X208.gff3,UTAH_23742X208,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X209,UTAH_23742X209.pep.fa,UTAH_23742X209.dna.fa,UTAH_23742X209.gff3,UTAH_23742X209,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X211,UTAH_23742X211.pep.fa,UTAH_23742X211.dna.fa,UTAH_23742X211.gff3,UTAH_23742X211,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X214,UTAH_23742X214.pep.fa,UTAH_23742X214.dna.fa,UTAH_23742X214.gff3,UTAH_23742X214,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X223,UTAH_23742X223.pep.fa,UTAH_23742X223.dna.fa,UTAH_23742X223.gff3,UTAH_23742X223,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X225,UTAH_23742X225.pep.fa,UTAH_23742X225.dna.fa,UTAH_23742X225.gff3,UTAH_23742X225,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X227,UTAH_23742X227.pep.fa,UTAH_23742X227.dna.fa,UTAH_23742X227.gff3,UTAH_23742X227,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X235,UTAH_23742X235.pep.fa,UTAH_23742X235.dna.fa,UTAH_23742X235.gff3,UTAH_23742X235,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X241,UTAH_23742X241.pep.fa,UTAH_23742X241.dna.fa,UTAH_23742X241.gff3,UTAH_23742X241,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X242,UTAH_23742X242.pep.fa,UTAH_23742X242.dna.fa,UTAH_23742X242.gff3,UTAH_23742X242,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X246,UTAH_23742X246.pep.fa,UTAH_23742X246.dna.fa,UTAH_23742X246.gff3,UTAH_23742X246,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X253,UTAH_23742X253.pep.fa,UTAH_23742X253.dna.fa,UTAH_23742X253.gff3,UTAH_23742X253,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X255,UTAH_23742X255.pep.fa,UTAH_23742X255.dna.fa,UTAH_23742X255.gff3,UTAH_23742X255,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X257,UTAH_23742X257.pep.fa,UTAH_23742X257.dna.fa,UTAH_23742X257.gff3,UTAH_23742X257,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X260,UTAH_23742X260.pep.fa,UTAH_23742X260.dna.fa,UTAH_23742X260.gff3,UTAH_23742X260,Coccidioides immitis
IN,Coccidioides immitis,UTAH_23742X31,UTAH_23742X31.pep.fa,UTAH_23742X31.dna.fa,UTAH_23742X31.gff3,UTAH_23742X31,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X38,UTAH_23742X38.pep.fa,UTAH_23742X38.dna.fa,UTAH_23742X38.gff3,UTAH_23742X38,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X40,UTAH_23742X40.pep.fa,UTAH_23742X40.dna.fa,UTAH_23742X40.gff3,UTAH_23742X40,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X44,UTAH_23742X44.pep.fa,UTAH_23742X44.dna.fa,UTAH_23742X44.gff3,UTAH_23742X44,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X51,UTAH_23742X51.pep.fa,UTAH_23742X51.dna.fa,UTAH_23742X51.gff3,UTAH_23742X51,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X6,UTAH_23742X6.pep.fa,UTAH_23742X6.dna.fa,UTAH_23742X6.gff3,UTAH_23742X6,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X7,UTAH_23742X7.pep.fa,UTAH_23742X7.dna.fa,UTAH_23742X7.gff3,UTAH_23742X7,Coccidioides posadasii
IN,Coccidioides immitis,UTAH_23742X71,UTAH_23742X71.pep.fa,UTAH_23742X71.dna.fa,UTAH_23742X71.gff3,UTAH_23742X71,Coccidioides immitis
OUT,Coccidioides posadasii,UTAH_23742X83,UTAH_23742X83.pep.fa,UTAH_23742X83.dna.fa,UTAH_23742X83.gff3,UTAH_23742X83,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_23742X84,UTAH_23742X84.pep.fa,UTAH_23742X84.dna.fa,UTAH_23742X84.gff3,UTAH_23742X84,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_31331,UTAH_31331.pep.fa,UTAH_31331.dna.fa,UTAH_31331.gff3,UTAH_31331,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_350355,UTAH_350355.pep.fa,UTAH_350355.dna.fa,UTAH_350355.gff3,UTAH_350355,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_9443,UTAH_9443.pep.fa,UTAH_9443.dna.fa,UTAH_9443.gff3,UTAH_9443,Coccidioides posadasii
OUT,Coccidioides posadasii,UTAH_9737,UTAH_9737.pep.fa,UTAH_9737.dna.fa,UTAH_9737.gff3,UTAH_9737,Coccidioides posadasii
IN,Coccidioides immitis,VFC043,VFC043.pep.fa,VFC043.dna.fa,VFC043.gff3,VFC043,Coccidioides immitis
IN,Coccidioides immitis,VFC052,VFC052.pep.fa,VFC052.dna.fa,VFC052.gff3,VFC052,Coccidioides immitis
OUT,Coccidioides posadasii,VFC083,VFC083.pep.fa,VFC083.dna.fa,VFC083.gff3,VFC083,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC084_CPA0067,VFC084_CPA0067.pep.fa,VFC084_CPA0067.dna.fa,VFC084_CPA0067.gff3,VFC084_CPA0067,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC085_CPA0068,VFC085_CPA0068.pep.fa,VFC085_CPA0068.dna.fa,VFC085_CPA0068.gff3,VFC085_CPA0068,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC087,VFC087.pep.fa,VFC087.dna.fa,VFC087.gff3,VFC087,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC088,VFC088.pep.fa,VFC088.dna.fa,VFC088.gff3,VFC088,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC090,VFC090.pep.fa,VFC090.dna.fa,VFC090.gff3,VFC090,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC091,VFC091.pep.fa,VFC091.dna.fa,VFC091.gff3,VFC091,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC092,VFC092.pep.fa,VFC092.dna.fa,VFC092.gff3,VFC092,Coccidioides posadasii
OUT,Coccidioides posadasii,VFC093,VFC093.pep.fa,VFC093.dna.fa,VFC093.gff3,VFC093,Coccidioides posadasii
OUT,Coccidioides posadasii,WA31,WA31.pep.fa,WA31.dna.fa,WA31.gff3,WA31,Coccidioides posadasii
IN,Coccidioides immitis,WA_211,WA_211.pep.fa,WA_211.dna.fa,WA_211.gff3,WA_211,Coccidioides immitis
IN,Coccidioides immitis,WA_221,WA_221.pep.fa,WA_221.dna.fa,WA_221.gff3,WA_221,Coccidioides immitis
IN,Coccidioides immitis,Washington_1,Washington_1.pep.fa,Washington_1.dna.fa,Washington_1.gff3,Washington_1,Coccidioides immitis
IN,Coccidioides immitis,h5384,h5384.pep.fa,h5384.dna.fa,h5384.gff3,h5384,Coccidioides immitis
