GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Coccidioides posadasii,B11299,B11299.pep.fa,B11299.dna.fa,B11299.gff3,B11299,Coccidioides posadasii
OUT,Coccidioides posadasii,B11300,B11300.pep.fa,B11300.dna.fa,B11300.gff3,B11300,Coccidioides posadasii
IN,Coccidioides immitis,B11343,B11343.pep.fa,B11343.dna.fa,B11343.gff3,B11343,Coccidioides immitis
OUT,Coccidioides posadasii,B11400,B11400.pep.fa,B11400.dna.fa,B11400.gff3,B11400,Coccidioides posadasii
IN,Coccidioides immitis,B11517,B11517.pep.fa,B11517.dna.fa,B11517.gff3,B11517,Coccidioides immitis
IN,Coccidioides immitis,B11518,B11518.pep.fa,B11518.dna.fa,B11518.gff3,B11518,Coccidioides immitis
IN,Coccidioides immitis,B11587,B11587.pep.fa,B11587.dna.fa,B11587.gff3,B11587,Coccidioides immitis
IN,Coccidioides immitis,B11863,B11863.pep.fa,B11863.dna.fa,B11863.gff3,B11863,Coccidioides immitis
OUT,Coccidioides posadasii,B11871,B11871.pep.fa,B11871.dna.fa,B11871.gff3,B11871,Coccidioides posadasii
OUT,Coccidioides posadasii,B11872,B11872.pep.fa,B11872.dna.fa,B11872.gff3,B11872,Coccidioides posadasii
IN,Coccidioides immitis,B11873,B11873.pep.fa,B11873.dna.fa,B11873.gff3,B11873,Coccidioides immitis
OUT,Coccidioides posadasii,B11877,B11877.pep.fa,B11877.dna.fa,B11877.gff3,B11877,Coccidioides posadasii
OUT,Coccidioides posadasii,B12202,B12202.pep.fa,B12202.dna.fa,B12202.gff3,B12202,Coccidioides posadasii
OUT,Coccidioides posadasii,B12216,B12216.pep.fa,B12216.dna.fa,B12216.gff3,B12216,Coccidioides posadasii
OUT,Coccidioides posadasii,B12218,B12218.pep.fa,B12218.dna.fa,B12218.gff3,B12218,Coccidioides posadasii
IN,Coccidioides immitis,B12219,B12219.pep.fa,B12219.dna.fa,B12219.gff3,B12219,Coccidioides immitis
IN,Coccidioides immitis,B12220,B12220.pep.fa,B12220.dna.fa,B12220.gff3,B12220,Coccidioides immitis
OUT,Coccidioides posadasii,B12226,B12226.pep.fa,B12226.dna.fa,B12226.gff3,B12226,Coccidioides posadasii
OUT,Coccidioides posadasii,B12397,B12397.pep.fa,B12397.dna.fa,B12397.gff3,B12397,Coccidioides posadasii
IN,Coccidioides immitis,B12398,B12398.pep.fa,B12398.dna.fa,B12398.gff3,B12398,Coccidioides immitis
OUT,Coccidioides posadasii,B12399,B12399.pep.fa,B12399.dna.fa,B12399.gff3,B12399,Coccidioides posadasii
OUT,Coccidioides posadasii,B12400,B12400.pep.fa,B12400.dna.fa,B12400.gff3,B12400,Coccidioides posadasii
OUT,Coccidioides posadasii,B12402,B12402.pep.fa,B12402.dna.fa,B12402.gff3,B12402,Coccidioides posadasii
OUT,Coccidioides posadasii,B12471,B12471.pep.fa,B12471.dna.fa,B12471.gff3,B12471,Coccidioides posadasii
OUT,Coccidioides posadasii,B12475,B12475.pep.fa,B12475.dna.fa,B12475.gff3,B12475,Coccidioides posadasii
IN,Coccidioides immitis,B12495,B12495.pep.fa,B12495.dna.fa,B12495.gff3,B12495,Coccidioides immitis
IN,Coccidioides immitis,B12496,B12496.pep.fa,B12496.dna.fa,B12496.gff3,B12496,Coccidioides immitis
OUT,Coccidioides posadasii,B12498,B12498.pep.fa,B12498.dna.fa,B12498.gff3,B12498,Coccidioides posadasii
OUT,Coccidioides posadasii,B1249_Guatemala,B1249_Guatemala.pep.fa,B1249_Guatemala.dna.fa,B1249_Guatemala.gff3,B1249_Guatemala,Coccidioides posadasii
IN,Coccidioides immitis,B12526,B12526.pep.fa,B12526.dna.fa,B12526.gff3,B12526,Coccidioides immitis
OUT,Coccidioides posadasii,B12527,B12527.pep.fa,B12527.dna.fa,B12527.gff3,B12527,Coccidioides posadasii
OUT,Coccidioides posadasii,B13534,B13534.pep.fa,B13534.dna.fa,B13534.gff3,B13534,Coccidioides posadasii
OUT,Coccidioides posadasii,B13535,B13535.pep.fa,B13535.dna.fa,B13535.gff3,B13535,Coccidioides posadasii
IN,Coccidioides immitis,B13956,B13956.pep.fa,B13956.dna.fa,B13956.gff3,B13956,Coccidioides immitis
OUT,Coccidioides posadasii,B13981,B13981.pep.fa,B13981.dna.fa,B13981.gff3,B13981,Coccidioides posadasii
OUT,Coccidioides posadasii,B14104,B14104.pep.fa,B14104.dna.fa,B14104.gff3,B14104,Coccidioides posadasii
OUT,Coccidioides posadasii,B14130,B14130.pep.fa,B14130.dna.fa,B14130.gff3,B14130,Coccidioides posadasii
IN,Coccidioides immitis,B14131,B14131.pep.fa,B14131.dna.fa,B14131.gff3,B14131,Coccidioides immitis
IN,Coccidioides immitis,B14132,B14132.pep.fa,B14132.dna.fa,B14132.gff3,B14132,Coccidioides immitis
IN,Coccidioides immitis,B14133,B14133.pep.fa,B14133.dna.fa,B14133.gff3,B14133,Coccidioides immitis
OUT,Coccidioides posadasii,B14134,B14134.pep.fa,B14134.dna.fa,B14134.gff3,B14134,Coccidioides posadasii
IN,Coccidioides immitis,B14135,B14135.pep.fa,B14135.dna.fa,B14135.gff3,B14135,Coccidioides immitis
IN,Coccidioides immitis,B14286,B14286.pep.fa,B14286.dna.fa,B14286.gff3,B14286,Coccidioides immitis
IN,Coccidioides immitis,B14288,B14288.pep.fa,B14288.dna.fa,B14288.gff3,B14288,Coccidioides immitis
OUT,Coccidioides posadasii,B14291,B14291.pep.fa,B14291.dna.fa,B14291.gff3,B14291,Coccidioides posadasii
OUT,Coccidioides posadasii,B14292,B14292.pep.fa,B14292.dna.fa,B14292.gff3,B14292,Coccidioides posadasii
IN,Coccidioides immitis,B14298,B14298.pep.fa,B14298.dna.fa,B14298.gff3,B14298,Coccidioides immitis
IN,Coccidioides immitis,B15142,B15142.pep.fa,B15142.dna.fa,B15142.gff3,B15142,Coccidioides immitis
IN,Coccidioides immitis,B15145,B15145.pep.fa,B15145.dna.fa,B15145.gff3,B15145,Coccidioides immitis
IN,Coccidioides immitis,B15146,B15146.pep.fa,B15146.dna.fa,B15146.gff3,B15146,Coccidioides immitis
IN,Coccidioides immitis,B15257,B15257.pep.fa,B15257.dna.fa,B15257.gff3,B15257,Coccidioides immitis
IN,Coccidioides immitis,B15317,B15317.pep.fa,B15317.dna.fa,B15317.gff3,B15317,Coccidioides immitis
IN,Coccidioides immitis,B15368,B15368.pep.fa,B15368.dna.fa,B15368.gff3,B15368,Coccidioides immitis
OUT,Coccidioides posadasii,B15369,B15369.pep.fa,B15369.dna.fa,B15369.gff3,B15369,Coccidioides posadasii
OUT,Coccidioides posadasii,B16293,B16293.pep.fa,B16293.dna.fa,B16293.gff3,B16293,Coccidioides posadasii
OUT,Coccidioides posadasii,B16294,B16294.pep.fa,B16294.dna.fa,B16294.gff3,B16294,Coccidioides posadasii
IN,Coccidioides immitis,B16338,B16338.pep.fa,B16338.dna.fa,B16338.gff3,B16338,Coccidioides immitis
IN,Coccidioides immitis,B16339,B16339.pep.fa,B16339.dna.fa,B16339.gff3,B16339,Coccidioides immitis
IN,Coccidioides immitis,B16364,B16364.pep.fa,B16364.dna.fa,B16364.gff3,B16364,Coccidioides immitis
OUT,Coccidioides posadasii,B16531,B16531.pep.fa,B16531.dna.fa,B16531.gff3,B16531,Coccidioides posadasii
IN,Coccidioides immitis,B16536,B16536.pep.fa,B16536.dna.fa,B16536.gff3,B16536,Coccidioides immitis
IN,Coccidioides immitis,B16692,B16692.pep.fa,B16692.dna.fa,B16692.gff3,B16692,Coccidioides immitis
OUT,Coccidioides posadasii,B16712,B16712.pep.fa,B16712.dna.fa,B16712.gff3,B16712,Coccidioides posadasii
IN,Coccidioides immitis,B17554,B17554.pep.fa,B17554.dna.fa,B17554.gff3,B17554,Coccidioides immitis
IN,Coccidioides immitis,B17567,B17567.pep.fa,B17567.dna.fa,B17567.gff3,B17567,Coccidioides immitis
IN,Coccidioides immitis,B17635,B17635.pep.fa,B17635.dna.fa,B17635.gff3,B17635,Coccidioides immitis
OUT,Coccidioides posadasii,B3203,B3203.pep.fa,B3203.dna.fa,B3203.gff3,B3203,Coccidioides posadasii
OUT,Coccidioides posadasii,B3213,B3213.pep.fa,B3213.dna.fa,B3213.gff3,B3213,Coccidioides posadasii
OUT,Coccidioides posadasii,B3215,B3215.pep.fa,B3215.dna.fa,B3215.gff3,B3215,Coccidioides posadasii
OUT,Coccidioides posadasii,B3220,B3220.pep.fa,B3220.dna.fa,B3220.gff3,B3220,Coccidioides posadasii
OUT,Coccidioides posadasii,B3221,B3221.pep.fa,B3221.dna.fa,B3221.gff3,B3221,Coccidioides posadasii
OUT,Coccidioides posadasii,B3222,B3222.pep.fa,B3222.dna.fa,B3222.gff3,B3222,Coccidioides posadasii
OUT,Coccidioides posadasii,B3224,B3224.pep.fa,B3224.dna.fa,B3224.gff3,B3224,Coccidioides posadasii
OUT,Coccidioides posadasii,B3226,B3226.pep.fa,B3226.dna.fa,B3226.gff3,B3226,Coccidioides posadasii
OUT,Coccidioides posadasii,B3227,B3227.pep.fa,B3227.dna.fa,B3227.gff3,B3227,Coccidioides posadasii
OUT,Coccidioides posadasii,B3228,B3228.pep.fa,B3228.dna.fa,B3228.gff3,B3228,Coccidioides posadasii
OUT,Coccidioides posadasii,B3236,B3236.pep.fa,B3236.dna.fa,B3236.gff3,B3236,Coccidioides posadasii
OUT,Coccidioides posadasii,B3242,B3242.pep.fa,B3242.dna.fa,B3242.gff3,B3242,Coccidioides posadasii
OUT,Coccidioides posadasii,B3244,B3244.pep.fa,B3244.dna.fa,B3244.gff3,B3244,Coccidioides posadasii
OUT,Coccidioides posadasii,B3245,B3245.pep.fa,B3245.dna.fa,B3245.gff3,B3245,Coccidioides posadasii
OUT,Coccidioides posadasii,B3246,B3246.pep.fa,B3246.dna.fa,B3246.gff3,B3246,Coccidioides posadasii
OUT,Coccidioides posadasii,B3251,B3251.pep.fa,B3251.dna.fa,B3251.gff3,B3251,Coccidioides posadasii
OUT,Coccidioides posadasii,B3256,B3256.pep.fa,B3256.dna.fa,B3256.gff3,B3256,Coccidioides posadasii
OUT,Coccidioides posadasii,B3269,B3269.pep.fa,B3269.dna.fa,B3269.gff3,B3269,Coccidioides posadasii
OUT,Coccidioides posadasii,B3276,B3276.pep.fa,B3276.dna.fa,B3276.gff3,B3276,Coccidioides posadasii
OUT,Coccidioides posadasii,B3284,B3284.pep.fa,B3284.dna.fa,B3284.gff3,B3284,Coccidioides posadasii
OUT,Coccidioides posadasii,B3286,B3286.pep.fa,B3286.dna.fa,B3286.gff3,B3286,Coccidioides posadasii
OUT,Coccidioides posadasii,B3290,B3290.pep.fa,B3290.dna.fa,B3290.gff3,B3290,Coccidioides posadasii
OUT,Coccidioides posadasii,B3291,B3291.pep.fa,B3291.dna.fa,B3291.gff3,B3291,Coccidioides posadasii
OUT,Coccidioides posadasii,B3292,B3292.pep.fa,B3292.dna.fa,B3292.gff3,B3292,Coccidioides posadasii
OUT,Coccidioides posadasii,B3301,B3301.pep.fa,B3301.dna.fa,B3301.gff3,B3301,Coccidioides posadasii
OUT,Coccidioides posadasii,B3310,B3310.pep.fa,B3310.dna.fa,B3310.gff3,B3310,Coccidioides posadasii
OUT,Coccidioides posadasii,B3313,B3313.pep.fa,B3313.dna.fa,B3313.gff3,B3313,Coccidioides posadasii
OUT,Coccidioides posadasii,B3314,B3314.pep.fa,B3314.dna.fa,B3314.gff3,B3314,Coccidioides posadasii
