ql	sl	pid	len	qlen	slen	qcov	ev	bits
F21	F14	99.0	104	145	124	0.72	1.5399999999999999e-69	205.0
F21	F06	99.0	104	145	170	0.72	6.919999999999999e-69	205.0
F21	F34	100.0	71	145	71	0.49	2.35e-44	140.0
F21	F32	94.2	52	145	154	0.36	9.400000000000001e-29	103.0
F21	F16	42.3	104	145	120	0.7	4.03e-20	80.1
F21	F10	34.7	95	145	119	0.61	5.87e-06	43.1
F37	F11	100.0	53	53	87	1.0	3.63e-34	110.0
F37	F05	58.9	73	53	117	1.0	7.25e-21	78.2
F37	F27	57.5	73	53	165	1.0	2.6e-19	75.5
F37	F15	61.3	31	53	146	0.57	7.92e-07	42.7
F37	F22	61.3	31	53	180	0.57	1.09e-06	42.7
F37	F23	56.7	30	53	134	0.57	1.88e-06	41.6
F37	F03	56.7	30	53	122	0.57	4.43e-06	40.4
F31	F26	97.8	90	90	151	1.0	2.13e-58	176.0
F31	F12	97.8	90	90	178	1.0	4.9900000000000005e-58	176.0
F31	F33	97.8	90	90	202	1.0	1.05e-57	176.0
F31	F04	92.2	90	90	125	1.0	3.48e-54	164.0
F31	F38	83.1	89	90	90	0.99	2.11e-48	148.0
F31	F24	95.2	62	90	62	0.69	1.07e-36	118.0
F31	F16	33.8	80	90	120	0.86	7.55e-07	43.9
F31	F09	31.0	84	90	124	0.89	8.05e-07	43.9
F09	F16	35.7	84	124	120	0.68	2.3e-09	51.6
F09	F10	32.9	76	124	119	0.61	3.39e-08	48.5
F09	F17	31.6	76	124	108	0.61	5.39e-08	47.8
F09	F29	31.6	76	124	140	0.61	9.51e-08	47.8
F09	F08	32.6	92	124	117	0.73	1.26e-07	47.0
F09	F31	31.7	82	124	90	0.66	1.56e-06	43.5
F07	F20	98.2	111	129	225	0.86	2.14e-68	205.0
F07	F28	100.0	103	129	103	0.8	7.99e-68	199.0
F07	F02	50.0	120	129	124	0.93	2.3300000000000002e-29	103.0
F07	F25	50.5	97	129	98	0.75	1.38e-25	92.8
F29	F17	99.1	108	140	108	0.77	9.540000000000001e-73	213.0
F29	F10	87.4	119	140	119	0.85	2.63e-70	207.0
F29	F08	37.3	118	140	117	0.84	3.19e-17	72.4
F29	F19	31.4	118	140	103	0.84	3.19e-10	53.9
F29	F16	34.1	88	140	120	0.61	1.34e-08	50.1
F29	F30	28.0	118	140	100	0.84	7.09e-07	45.1
F26	F12	81.5	178	151	178	1.0	7.01e-93	266.0
F26	F33	98.2	112	151	202	0.74	8.309999999999999e-74	219.0
F26	F04	91.8	110	151	125	0.73	3.33e-68	202.0
F26	F31	97.8	90	151	90	0.6	8.77e-59	177.0
F26	F38	83.1	89	151	90	0.59	3.99e-48	150.0
F26	F24	95.2	62	151	62	0.41	1.0600000000000001e-35	118.0
F26	F16	35.0	80	151	120	0.51	2.46e-07	47.0
