Species,Strain,Protein,DNA,Short,Lineage
Laccaria amethystina,LaAM-08-1,Laccaria_amethystina_LaAM-08-1.Lacam1.v1.aa.fasta,Laccaria_amethystina_LaAM-08-1.Lacam1.v1.fasta,Laccamet,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hydnangiaceae;Laccaria
Laccaria bicolor,S238N-H82,Laccaria_bicolor_S238N-H82.Lacbi2.v2.aa.fasta,Laccaria_bicolor_S238N-H82.Lacbi2.v2.fasta,Laccbico,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hydnangiaceae;Laccaria
Lentinus tigrinus,ALCF2SS1-6,Lentinus_tigrinus_ALCF2SS1-6.Lenti6_1.v1.aa.fasta,Lentinus_tigrinus_ALCF2SS1-6.Lenti6_1.v1.fasta,Lenttigr,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Lentinus
Lentithecium fluviatile,CBS_122367,Lentithecium_fluviatile_CBS_122367.Lenfl1.v1.aa.fasta,Lentithecium_fluviatile_CBS_122367.Lenfl1.v1.fasta,Lentfluv,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lentitheciaceae;Lentithecium
Lepidopterella palustris,,Lepidopterella_palustris.Leppa1.v1.aa.fasta,Lepidopterella_palustris.Leppa1.v1.fasta,Lepipalu,Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Argynnaceae;Lepidopterella
Leucogyrophana mollusca,KUC20120723A-06,Leucogyrophana_mollusca_KUC20120723A-06.Leumo1.v1.aa.fasta,Leucogyrophana_mollusca_KUC20120723A-06.Leumo1.v1.fasta,Leucmoll,Fungi;Basidiomycota;Agaricomycetes;Boletales;Leucogyrophana
Lichtheimia corymbifera,FSU_9682,Lichtheimia_corymbifera_FSU_9682.aa.fasta,Lichtheimia_corymbifera_FSU_9682.fasta,Lichcory,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Lichtheimiaceae;Lichtheimia
Lichtheimia hyalospora,FSU_10163,Lichtheimia_hyalospora_FSU_10163.Lichy1.v1.aa.fasta,Lichtheimia_hyalospora_FSU_10163.Lichy1.v1.fasta,Lichhyal,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Lichtheimiaceae;Lichtheimia
Linderina pennispora,ATCC_12442,Linderina_pennispora_ATCC_12442.Linpe1.v1.aa.fasta,Linderina_pennispora_ATCC_12442.Linpe1.v1.fasta,Lindpenn,Fungi;Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Linderina
Lodderomyces elongisporus,NRRL_YB-4239,Lodderomyces_elongisporus_NRRL_YB-4239.aa.fasta,Lodderomyces_elongisporus_NRRL_YB-4239.fasta,Loddelon,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Lodderomyces
Lophiostoma macrostomum,CBS_122681,Lophiostoma_macrostomum_CBS_122681.Lopma1.v1.aa.fasta,Lophiostoma_macrostomum_CBS_122681.Lopma1.v1.fasta,Lophmacr,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Lophiostoma
Lophium mytilinum,CBS_269,Lophium_mytilinum_CBS_269.34.Lopmy1.v1.aa.fasta,Lophium_mytilinum_CBS_269.34.Lopmy1.v1.fasta,Lophmyti,Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium
Macrolepiota fuliginosa,,Macrolepiota_fuliginosa.Macfu1.v1.aa.fasta,Macrolepiota_fuliginosa.Macfu1.v1.fasta,Macrfuli,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Macrolepiota
Malassezia globosa,,Malassezia_globosa.aa.fasta,Malassezia_globosa.fasta,Malaglob,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia
Martensiomyces pterosporus,CBS_209,Martensiomyces_pterosporus_CBS_209.56.Marpt1.v1.aa.fasta,Martensiomyces_pterosporus_CBS_209.56.Marpt1.v1.fasta,Martpter,Fungi;Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Martensiomyces
Meira miltonrushii,CBS_12591,Meira_miltonrushii_CBS_12591.Meimi1.v1.aa.fasta,Meira_miltonrushii_CBS_12591.Meimi1.v1.fasta,Meirmilt,Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Brachybasidiaceae;Meira
Melampsora laricis-populina,98AG31,Melampsora_laricis-populina_98AG31.Mellp1.v1.aa.fasta,Melampsora_laricis-populina_98AG31.Mellp1.v1.fasta,Melalari,Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora
Melanomma pulvis-pyrius,CBS_109,Melanomma_pulvis-pyrius_CBS_109.77.Melpu1.v1.aa.fasta,Melanomma_pulvis-pyrius_CBS_109.77.Melpu1.v1.fasta,Melapulv,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Melanomma
Metarhizium anisopliae,ARSEF_23,Metarhizium_anisopliae_ARSEF_23.aa.fasta,Metarhizium_anisopliae_ARSEF_23.fasta,Metaanis,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium
Meyerozyma guilliermondii,ATCC_6260,Meyerozyma_guilliermondii_ATCC_6260.aa.fasta,Meyerozyma_guilliermondii_ATCC_6260.fasta,Meyeguil,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Meyerozyma
Microbotryum violaceum,p1A1_Lamole,Microbotryum_violaceum_p1A1_Lamole.aa.fasta,Microbotryum_violaceum_p1A1_Lamole.fasta,Micrviol,Fungi;Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum
Millerozyma farinosa,CBS_7064,Millerozyma_farinosa_CBS_7064.aa.fasta,Millerozyma_farinosa_CBS_7064.fasta,Millfari,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Millerozyma
Mixia osmundae,IAM_14324,Mixia_osmundae_IAM_14324.Mixos1.v1.aa.fasta,Mixia_osmundae_IAM_14324.Mixos1.v1.fasta,Mixiosmu,Fungi;Basidiomycota;Mixiomycetes;Mixiales;Mixiaceae;Mixia
Monascus purpureus,NRRL_1596,Monascus_purpureus_NRRL_1596.Monpu1.v1.aa.fasta,Monascus_purpureus_NRRL_1596.Monpu1.v1.fasta,Monapurp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Monascus ruber,NRRL_1597,Monascus_ruber_NRRL_1597.Monru1.v1.aa.fasta,Monascus_ruber_NRRL_1597.Monru1.v1.fasta,Monarube,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Morchella conica,CCBAS932,Morchella_conica_CCBAS932.Morco1.v1.aa.fasta,Morchella_conica_CCBAS932.Morco1.v1.fasta,Morcconi,Fungi;Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella
Mucor circinelloides,CBS277,Mucor_circinelloides_CBS277.49.Mucci2.v2.aa.fasta,Mucor_circinelloides_CBS277.49.Mucci2.v2.fasta,Mucocirc,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor
Myriangium duriaei,CBS_260,Myriangium_duriaei_CBS_260.36.Myrdu1.v1.aa.fasta,Myriangium_duriaei_CBS_260.36.Myrdu1.v1.fasta,Myriduri,Fungi;Ascomycota;Dothideomycetes;Myriangiales;Myriangiaceae;Myriangium
Nakaseomyces delphensis,CBS_2170,Nakaseomyces_delphensis_CBS_2170.aa.fasta,Nakaseomyces_delphensis_CBS_2170.fasta,Nakadelp,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces
Nematocida parisii,ERTm1,Nematocida_parisii_ERTm1.Nempa1.aa.fasta,Nematocida_parisii_ERTm1.Nempa1.fasta,Nemapari,Fungi;Microsporidia;Nematocida
Neolecta irregularis,DAH-1,Neolecta_irregularis_DAH-1.v1.aa.fasta,Neolecta_irregularis_DAH-1.v1.fasta,Neolirre,Fungi;Ascomycota;Neolectomycetes;Neolectales;Neolectaceae;Neolecta
Neolentinus lepideus,HHB14362_ss-1,Neolentinus_lepideus_HHB14362_ss-1.Neole1.v1.aa.fasta,Neolentinus_lepideus_HHB14362_ss-1.Neole1.v1.fasta,Neollepi,Fungi;Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Neolentinus
Neurospora crassa,OR74A,Neurospora_crassa_OR74A.aa.fasta,Neurospora_crassa_OR74A.fasta,Neurcras,Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora
Ogataea parapolymorpha,DL-1,Ogataea_parapolymorpha_DL-1.aa.fasta,Ogataea_parapolymorpha_DL-1.fasta,Ogatpara,Fungi;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Ogataea
Oidiodendron maius,Zn,Oidiodendron_maius_Zn.Oidma1.v1.aa.fasta,Oidiodendron_maius_Zn.Oidma1.v1.fasta,Oidimaiu,Fungi;Ascomycota;Leotiomycetes;Myxotrichaceae;Oidiodendron
Omphalotus olearius,VT_653,Omphalotus_olearius_VT_653.13.Ompol1.aa.fasta,Omphalotus_olearius_VT_653.13.Ompol1.fasta,Ompholea,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Omphalotaceae;Omphalotus
Ophiostoma piceae,UAMH_11346,Ophiostoma_piceae_UAMH_11346.aa.fasta,Ophiostoma_piceae_UAMH_11346.fasta,Ophipice,Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Ophiostoma
Paracoccidioides brasiliensis,Pb18,Paracoccidioides_brasiliensis_Pb18.aa.fasta,Paracoccidioides_brasiliensis_Pb18.fasta,Parabras,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides
Patellaria atrata,CBS_101060,Patellaria_atrata_CBS_101060.Patat1.v1.aa.fasta,Patellaria_atrata_CBS_101060.Patat1.v1.fasta,Pateatra,Fungi;Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Patellaria
Paxillus involutus,ATCC_200175,Paxillus_involutus_ATCC_200175.Paxin1.v1.aa.fasta,Paxillus_involutus_ATCC_200175.Paxin1.v1.fasta,Paxiinvo,Fungi;Basidiomycota;Agaricomycetes;Boletales;Paxillaceae;Paxillus
Penicillium chrysogenum,Wisconsin_54-1255,Penicillium_chrysogenum_Wisconsin_54-1255.aa.fasta,Penicillium_chrysogenum_Wisconsin_54-1255.fasta,Penichry,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Periconia macrospinosa,DSE2036,Periconia_macrospinosa_DSE2036.Perma1.v1.aa.fasta,Periconia_macrospinosa_DSE2036.Perma1.v1.fasta,Perimacr,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia
Phlebiopsis gigantea,11061_1_CR5-6,Phlebiopsis_gigantea_11061_1_CR5-6.Phlgi1.v1.aa.fasta,Phlebiopsis_gigantea_11061_1_CR5-6.Phlgi1.v1.fasta,Phlegiga,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Phlebiopsis
Phycomyces blakesleeanus,NRRL_1555,Phycomyces_blakesleeanus_NRRL_1555.Phybl2.v2.aa.fasta,Phycomyces_blakesleeanus_NRRL_1555.Phybl2.v2.fasta,Phycblak,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Phycomycetaceae;Phycomyces
Pichia kudriavzevii,SD108,Pichia_kudriavzevii_SD108.v1.aa.fasta,Pichia_kudriavzevii_SD108.v1.fasta,Pichkudr,Fungi;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Pichia
Piedraia hortae,CBS_480,Piedraia_hortae_CBS_480.64.Pieho1_1.v1.1.aa.fasta,Piedraia_hortae_CBS_480.64.Pieho1_1.v1.1.fasta,Piedhort,Fungi;Ascomycota;Dothideomycetes;Capnodiales;Piedraiaceae;Piedraia
Piloderma croceum,F_1598,Piloderma_croceum_F_1598.Pilcr1.v1.aa.fasta,Piloderma_croceum_F_1598.Pilcr1.v1.fasta,Pilocroc,Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Piloderma
Piptocephalis cylindrospora,,Piptocephalis_cylindrospora.Pipcy2.v2.aa.fasta,Piptocephalis_cylindrospora.Pipcy2.v2.fasta,Piptcyli,Fungi;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis
Pisolithus tinctorius,Marx_270,Pisolithus_tinctorius_Marx_270.Pisti1.v1.aa.fasta,Pisolithus_tinctorius_Marx_270.Pisti1.v1.fasta,Pisotinc,Fungi;Basidiomycota;Agaricomycetes;Boletales;Pisolithaceae;Pisolithus
Pleomassaria siparia,CBS_279,Pleomassaria_siparia_CBS_279.74.Plesi1.v1.aa.fasta,Pleomassaria_siparia_CBS_279.74.Plesi1.v1.fasta,Pleosipa,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleomassariaceae;Pleomassaria
Pleurotus ostreatus,PC15,Pleurotus_ostreatus_PC15.PleosPC15_2.v2.aa.fasta,Pleurotus_ostreatus_PC15.PleosPC15_2.v2.fasta,Pleuostr,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus
Pneumocystis jirovecii,SE8,Pneumocystis_jirovecii_SE8.aa.fasta,Pneumocystis_jirovecii_SE8.fasta,Pneujiro,Fungi;Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis
Podospora anserina,S_mat+,Podospora_anserina_S_mat+.Podan2.aa.fasta,Podospora_anserina_S_mat+.Podan2.fasta,Podoanse,Fungi;Ascomycota;Sordariomycetes;Sordariales;Podosporaceae;Podospora
Polychaeton citri,CBS_116435,Polychaeton_citri_CBS_116435.Polci1.v1.aa.fasta,Polychaeton_citri_CBS_116435.Polci1.v1.fasta,Polycitr,Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Polychaeton
Polyplosphaeria fusca,CBS_125425,Polyplosphaeria_fusca_CBS_125425.Polfu1.v1.aa.fasta,Polyplosphaeria_fusca_CBS_125425.Polfu1.v1.fasta,Polyfusc,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Tetraplosphaeriaceae;Polyplosphaeria
Protomyces inouyei,,Protomyces_inouyei.aa.fasta,Protomyces_inouyei.fasta,Protinou,Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Protomycetaceae;Protomyces
Pseudogymnoascus destructans,20631-21,Pseudogymnoascus_destructans_20631-21.aa.fasta,Pseudogymnoascus_destructans_20631-21.fasta,Pseudest,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus
Puccinia graminis,f,Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3.aa.fasta,Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3.fasta,Puccgram,Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia
Puccinia striiformis,f_sp_tritici_PST-130,Puccinia_striiformis_f_sp_tritici_PST-130.Pucst1.aa.fasta,Puccinia_striiformis_f_sp_tritici_PST-130.Pucst1.fasta,Puccstri,Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia
Punctularia strigosozonata,HHB-11173_SS5,Punctularia_strigosozonata_HHB-11173_SS5.aa.fasta,Punctularia_strigosozonata_HHB-11173_SS5.fasta,Puncstri,Fungi;Basidiomycota;Agaricomycetes;Corticiales;Punctulariaceae;Punctularia
Pyrenophora tritici-repentis,,Pyrenophora_tritici-repentis.aa.fasta,Pyrenophora_tritici-repentis.fasta,Pyretrit,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Pyrenophora
Ramaria rubella,UT-36052-T,Ramaria_rubella_UT-36052-T.Ramac1.v1.aa.fasta,Ramaria_rubella_UT-36052-T.Ramac1.v1.fasta,Ramarube,Fungi;Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria
Ramicandelaber brevisporus,CBS_109374,Ramicandelaber_brevisporus_CBS_109374.Rambr1.v1.aa.fasta,Ramicandelaber_brevisporus_CBS_109374.Rambr1.v1.fasta,Ramibrev,Fungi;Kickxellomycota;Ramicandelaberales;Ramicandelaberaceae;Ramicandelaber
Rhizoctonia solani,AG-1_IA,Rhizoctonia_solani_AG-1_IA.aa.fasta,Rhizoctonia_solani_AG-1_IA.fasta,Rhizsola,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Rhizoctonia
Rhizoctonia solani,AG-1_IB,Rhizoctonia_solani_AG-1_IB.Rhiso1.aa.fasta,Rhizoctonia_solani_AG-1_IB.Rhiso1.fasta,Rhizsol2,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Rhizoctonia
Rhizophagus irregularis,DAOM_181602,Rhizophagus_irregularis_DAOM_181602.Gloin1.v1.aa.fasta,Rhizophagus_irregularis_DAOM_181602.Gloin1.v1.fasta,Rhizirre,Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus
Rhizopogon salebrosus,TDB-379,Rhizopogon_salebrosus_TDB-379.Rhisa1.v1.aa.fasta,Rhizopogon_salebrosus_TDB-379.Rhisa1.v1.fasta,Rhizsale,Fungi;Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon
Rhizopogon vinicolor,AM-OR11-026,Rhizopogon_vinicolor_AM-OR11-026.Rhivi1.v1.aa.fasta,Rhizopogon_vinicolor_AM-OR11-026.Rhivi1.v1.fasta,Rhizvini,Fungi;Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon
Rhizopus delemar,RA_99-880,Rhizopus_delemar_RA_99-880.aa.fasta,Rhizopus_delemar_RA_99-880.fasta,Rhizdele,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus
Rhizopus microsporus,var_chinensis_CCTCC_M201021,Rhizopus_microsporus_var_chinensis_CCTCC_M201021.Rhich1.aa.fasta,Rhizopus_microsporus_var_chinensis_CCTCC_M201021.Rhich1.fasta,Rhizmicr,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus
Rhizopus microsporus,var_microsporus_ATCC_52813,Rhizopus_microsporus_var_microsporus_ATCC_52813.Rhimi1_1.v1.aa.fasta,Rhizopus_microsporus_var_microsporus_ATCC_52813.Rhimi1_1.v1.fasta,Rhizmic2,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus
Rhodotorula graminis,WP1,Rhodotorula_graminis_WP1.Rhoba1_1.v1.1.aa.fasta,Rhodotorula_graminis_WP1.Rhoba1_1.v1.1.fasta,Rhodgram,Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula
Rhytidhysteron rufulum,CBS_306,Rhytidhysteron_rufulum_CBS_306.38.Rhyru1_1.aa.fasta,Rhytidhysteron_rufulum_CBS_306.38.Rhyru1_1.fasta,Rhytrufu,Fungi;Ascomycota;Dothideomycetes;Hysteriales;Hysteriaceae;Rhytidhysteron
Rozella allomycis,CSF55,Rozella_allomycis_CSF55.aa.fasta,Rozella_allomycis_CSF55.fasta,Rozeallo,Fungi;Rozellomycota;Rozella
Saccharata proteae,CBS_121410,Saccharata_proteae_CBS_121410.Sacpr1.v1.aa.fasta,Saccharata_proteae_CBS_121410.Sacpr1.v1.fasta,Saccprot,Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Saccharataceae;Saccharata
Saccharomyces cerevisiae,S288C,Saccharomyces_cerevisiae_S288C.vR64-2-1.aa.fasta,Saccharomyces_cerevisiae_S288C.vR64-2-1.fasta,Sacccere,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
Saitoella complicata,NRRL_Y-17804,Saitoella_complicata_NRRL_Y-17804.Saico1.v1.aa.fasta,Saitoella_complicata_NRRL_Y-17804.Saico1.v1.fasta,Saitcomp,Fungi;Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella
Saksenaea vasiformis,B4078,Saksenaea_vasiformis_B4078.aa.fasta,Saksenaea_vasiformis_B4078.fasta,Saksvasi,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Saksenaeaceae;Saksenaea
Schizophyllum commune,H4-8,Schizophyllum_commune_H4-8.Schco3.v3.aa.fasta,Schizophyllum_commune_H4-8.Schco3.v3.fasta,Schicomm,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum
Schizopora paradoxa,KUC8140,Schizopora_paradoxa_KUC8140.Schpa1.v1.aa.fasta,Schizopora_paradoxa_KUC8140.Schpa1.v1.fasta,Schipara,Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Schizopora
Schizosaccharomyces octosporus,yFS286,Schizosaccharomyces_octosporus_yFS286.aa.fasta,Schizosaccharomyces_octosporus_yFS286.fasta,Schiocto,Fungi;Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces
Schizosaccharomyces pombe,972h-,Schizosaccharomyces_pombe_972h-.vASM294v2.aa.fasta,Schizosaccharomyces_pombe_972h-.vASM294v2.fasta,Schipomb,Fungi;Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces
Scleroderma citrinum,Foug_A,Scleroderma_citrinum_Foug_A.Sclci1.v1.aa.fasta,Scleroderma_citrinum_Foug_A.Sclci1.v1.fasta,Sclecitr,Fungi;Basidiomycota;Agaricomycetes;Boletales;Sclerodermataceae;Scleroderma
Sclerotinia sclerotiorum,1980_UF-70,Sclerotinia_sclerotiorum_1980_UF-70.aa.fasta,Sclerotinia_sclerotiorum_1980_UF-70.fasta,Sclescle,Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Sclerotinia
Serpula lacrymans,S7,Serpula_lacrymans_S7.9.SerlaS7_9_2.v2.aa.fasta,Serpula_lacrymans_S7.9.SerlaS7_9_2.v2.fasta,Serplacr,Fungi;Basidiomycota;Agaricomycetes;Boletales;Serpulaceae;Serpula
Sistotremastrum suecicum,HHB10207_ss-3,Sistotremastrum_suecicum_HHB10207_ss-3.Sissu1.v1.aa.fasta,Sistotremastrum_suecicum_HHB10207_ss-3.Sissu1.v1.fasta,Sistsuec,Fungi;Basidiomycota;Agaricomycetes;Sistotremastrales;Sistotremastraceae;Sistotremastrum
Sordaria macrospora,k-hell,Sordaria_macrospora_k-hell.aa.fasta,Sordaria_macrospora_k-hell.fasta,Sordmacr,Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Sordaria
Spathaspora passalidarum,NRRL_Y-27907,Spathaspora_passalidarum_NRRL_Y-27907.Spapa3.v2.aa.fasta,Spathaspora_passalidarum_NRRL_Y-27907.Spapa3.v2.fasta,Spatpass,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Spathaspora
Sphaerobolus stellatus,SS14,Sphaerobolus_stellatus_SS14.Sphst1.v1.aa.fasta,Sphaerobolus_stellatus_SS14.Sphst1.v1.fasta,Sphastel,Fungi;Basidiomycota;Agaricomycetes;Geastrales;Sphaerobolaceae;Sphaerobolus
Sphaerulina musiva,SO2202,Sphaerulina_musiva_SO2202.aa.fasta,Sphaerulina_musiva_SO2202.fasta,Sphamusi,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Sphaerulina
Spizellomyces punctatus,DAOM_BR117,Spizellomyces_punctatus_DAOM_BR117.v1.aa.fasta,Spizellomyces_punctatus_DAOM_BR117.v1.fasta,Spizpunc,Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces
Sporisorium reilianum,SRZ2,Sporisorium_reilianum_SRZ2.Spore1.aa.fasta,Sporisorium_reilianum_SRZ2.Spore1.fasta,Sporreil,Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Sporisorium
Sporobolomyces roseus,CBS_119925,Sporobolomyces_roseus_CBS_119925.Sporo1.v1.aa.fasta,Sporobolomyces_roseus_CBS_119925.Sporo1.v1.fasta,Sporrose,Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces
Sporormia fimetaria,,Sporormia_fimetaria.Spofi1.v1.aa.fasta,Sporormia_fimetaria.Spofi1.v1.fasta,Sporfime,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Sporormia
Stereum hirsutum,FP-91666_SS1,Stereum_hirsutum_FP-91666_SS1.Stehi1.v1.aa.fasta,Stereum_hirsutum_FP-91666_SS1.Stehi1.v1.fasta,Sterhirs,Fungi;Basidiomycota;Agaricomycetes;Russulales;Stereaceae;Stereum
Suillus brevipes,,Suillus_brevipes.Suibr1.v1.aa.fasta,Suillus_brevipes.Suibr1.v1.fasta,Suilbrev,Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus
Suillus luteus,UH-Slu-Lm8-n1,Suillus_luteus_UH-Slu-Lm8-n1.Suilu1.v1.aa.fasta,Suillus_luteus_UH-Slu-Lm8-n1.Suilu1.v1.fasta,Suillute,Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus
Talaromyces marneffei,ATCC_18224,Talaromyces_marneffei_ATCC_18224.aa.fasta,Talaromyces_marneffei_ATCC_18224.fasta,Talamarn,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces
Talaromyces stipitatus,ATCC_10500,Talaromyces_stipitatus_ATCC_10500.aa.fasta,Talaromyces_stipitatus_ATCC_10500.fasta,Talastip,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces
Terfezia boudieri,S1,Terfezia_boudieri_S1.Terbo2.v1.1.aa.fasta,Terfezia_boudieri_S1.Terbo2.v1.1.fasta,Terfboud,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Terfezia
Testicularia cyperi,MCA_3645,Testicularia_cyperi_MCA_3645.Tescy1.v1.aa.fasta,Testicularia_cyperi_MCA_3645.Tescy1.v1.fasta,Testcype,Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Anthracoideaceae;Testicularia
Tetrapisispora phaffii,CBS_4417,Tetrapisispora_phaffii_CBS_4417.aa.fasta,Tetrapisispora_phaffii_CBS_4417.fasta,Tetrphaf,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Tetrapisispora
Thermoascus aurantiacus,ATCC26904,Thermoascus_aurantiacus_ATCC26904.Theau1.v1.aa.fasta,Thermoascus_aurantiacus_ATCC26904.Theau1.v1.fasta,Theraura,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Thermoascus
Thermomyces lanuginosus,SSBP,Thermomyces_lanuginosus_SSBP.aa.fasta,Thermomyces_lanuginosus_SSBP.fasta,Therlanu,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Thermomyces
Tilletiaria anomala,UBC_951,Tilletiaria_anomala_UBC_951.Tilan2.v1.aa.fasta,Tilletiaria_anomala_UBC_951.Tilan2.v1.fasta,Tillanom,Fungi;Basidiomycota;Exobasidiomycetes;Georgefischeriales;Tilletiariaceae;Tilletiaria
Tolypocladium inflatum,NRRL_8044,Tolypocladium_inflatum_NRRL_8044.v1.aa.fasta,Tolypocladium_inflatum_NRRL_8044.v1.fasta,Tolyinfl,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium
