Species,Strain,Protein,DNA,Short,Lineage
Aspergillus saccharicola,IBT 36126,Aspergillus_saccharicola_IBT_36126.proteins.fa,Aspergillus_saccharicola_IBT_36126.scaffolds.fa,Aspesacc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sclerotialis,CBS 366.77,Aspergillus_sclerotialis_CBS_366.77.proteins.fa,Aspergillus_sclerotialis_CBS_366.77.scaffolds.fa,Aspescle,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sojae,NBRC4239,Aspergillus_sojae_NBRC4239.proteins.fa,Aspergillus_sojae_NBRC4239.scaffolds.fa,Aspesoja,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sojae,NRRL1989,Aspergillus_sojae_NRRL1989.proteins.fa,Aspergillus_sojae_NRRL1989.scaffolds.fa,Aspesoj2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sojae,SMF134,Aspergillus_sojae_SMF134.proteins.fa,Aspergillus_sojae_SMF134.scaffolds.fa,Aspesoj3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sojae,TK-83,Aspergillus_sojae_TK-83.proteins.fa,Aspergillus_sojae_TK-83.scaffolds.fa,Aspesoj4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sojae,TK-84,Aspergillus_sojae_TK-84.proteins.fa,Aspergillus_sojae_TK-84.scaffolds.fa,Aspesoj5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sojae,TK-85,Aspergillus_sojae_TK-85.proteins.fa,Aspergillus_sojae_TK-85.scaffolds.fa,Aspesoj6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. 2663,2663,Aspergillus_sp._2663_2663.proteins.fa,Aspergillus_sp._2663_2663.scaffolds.fa,Aspesp3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. 2NF922,2NF922,Aspergillus_sp._2NF922_2NF922.proteins.fa,Aspergillus_sp._2NF922_2NF922.scaffolds.fa,Aspesp4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. 2NF923,2NF923,Aspergillus_sp._2NF923_2NF923.proteins.fa,Aspergillus_sp._2NF923_2NF923.scaffolds.fa,Aspesp5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. 2NF925,2NF925,Aspergillus_sp._2NF925_2NF925.proteins.fa,Aspergillus_sp._2NF925_2NF925.scaffolds.fa,Aspesp6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. A31,A31,Aspergillus_sp._A31_A31.proteins.fa,Aspergillus_sp._A31_A31.scaffolds.fa,Aspesp7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. ADI1,ADI1,Aspergillus_sp._ADI1_ADI1.proteins.fa,Aspergillus_sp._ADI1_ADI1.scaffolds.fa,Aspesp8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. AS01,AS01,Aspergillus_sp._AS01_AS01.proteins.fa,Aspergillus_sp._AS01_AS01.scaffolds.fa,Aspesp9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. ATCC 12892,ATCC 12892,Aspergillus_sp._ATCC_12892_ATCC_12892.proteins.fa,Aspergillus_sp._ATCC_12892_ATCC_12892.scaffolds.fa,Aspesp10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. B102-05B,B102-05B,Aspergillus_sp._B102-05B_B102-05B.proteins.fa,Aspergillus_sp._B102-05B_B102-05B.scaffolds.fa,Aspesp11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. B3601,B3601,Aspergillus_sp._B3601_B3601.proteins.fa,Aspergillus_sp._B3601_B3601.scaffolds.fa,Aspesp12,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. B3605,B3605,Aspergillus_sp._B3605_B3605.proteins.fa,Aspergillus_sp._B3605_B3605.scaffolds.fa,Aspesp13,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. DX121-18F,DX121-18F,Aspergillus_sp._DX121-18F_DX121-18F.proteins.fa,Aspergillus_sp._DX121-18F_DX121-18F.scaffolds.fa,Aspesp14,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. DX7217,DX7217,Aspergillus_sp._DX7217_DX7217.proteins.fa,Aspergillus_sp._DX7217_DX7217.scaffolds.fa,Aspesp15,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. F3603,S1902Y,Aspergillus_sp._F3603_S1902Y.proteins.fa,Aspergillus_sp._F3603_S1902Y.scaffolds.fa,Aspesp16,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. F3604,F3604,Aspergillus_sp._F3604_F3604.proteins.fa,Aspergillus_sp._F3604_F3604.scaffolds.fa,Aspesp17,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. F3605,F3605,Aspergillus_sp._F3605_F3605.proteins.fa,Aspergillus_sp._F3605_F3605.scaffolds.fa,Aspesp18,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. GBTC2 WXH,GBTC2 WXH,Aspergillus_sp._GBTC2_WXH_GBTC2_WXH.proteins.fa,Aspergillus_sp._GBTC2_WXH_GBTC2_WXH.scaffolds.fa,Aspesp19,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. GbtcF1,GbtcF1,Aspergillus_sp._GbtcF1_GbtcF1.proteins.fa,Aspergillus_sp._GbtcF1_GbtcF1.scaffolds.fa,Aspesp20,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. GbtcF2,GbtcF2,Aspergillus_sp._GbtcF2_GbtcF2.proteins.fa,Aspergillus_sp._GbtcF2_GbtcF2.scaffolds.fa,Aspesp21,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. JS3-R5,JS3-R5,Aspergillus_sp._JS3-R5_JS3-R5.proteins.fa,Aspergillus_sp._JS3-R5_JS3-R5.scaffolds.fa,Aspesp22,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. M3605,M3605,Aspergillus_sp._M3605_M3605.proteins.fa,Aspergillus_sp._M3605_M3605.scaffolds.fa,Aspesp23,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. M3606,M3606,Aspergillus_sp._M3606_M3606.proteins.fa,Aspergillus_sp._M3606_M3606.scaffolds.fa,Aspesp24,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. MA 6037,MA 6037,Aspergillus_sp._MA_6037_MA_6037.proteins.fa,Aspergillus_sp._MA_6037_MA_6037.scaffolds.fa,Aspesp25,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. MA 6038,MA 6038,Aspergillus_sp._MA_6038_MA_6038.proteins.fa,Aspergillus_sp._MA_6038_MA_6038.scaffolds.fa,Aspesp26,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. MA 6041,MA 6041,Aspergillus_sp._MA_6041_MA_6041.proteins.fa,Aspergillus_sp._MA_6041_MA_6041.scaffolds.fa,Aspesp27,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. MA 6041,Y3614,Aspergillus_sp._MA_6041_Y3614.proteins.fa,Aspergillus_sp._MA_6041_Y3614.scaffolds.fa,Aspesp28,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. MEXU 27854,MEXU 27854,Aspergillus_sp._MEXU_27854_MEXU_27854.proteins.fa,Aspergillus_sp._MEXU_27854_MEXU_27854.scaffolds.fa,Aspesp29,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. P7301S-1,P7301S-1,Aspergillus_sp._P7301S-1_P7301S-1.proteins.fa,Aspergillus_sp._P7301S-1_P7301S-1.scaffolds.fa,Aspesp30,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PA2101,PA2101,Aspergillus_sp._PA2101_PA2101.proteins.fa,Aspergillus_sp._PA2101_PA2101.scaffolds.fa,Aspesp31,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PA3604,PA3604,Aspergillus_sp._PA3604_PA3604.proteins.fa,Aspergillus_sp._PA3604_PA3604.scaffolds.fa,Aspesp32,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PA40-03,PA40-03,Aspergillus_sp._PA40-03_PA40-03.proteins.fa,Aspergillus_sp._PA40-03_PA40-03.scaffolds.fa,Aspesp33,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PB2407,PB2407,Aspergillus_sp._PB2407_PB2407.proteins.fa,Aspergillus_sp._PB2407_PB2407.scaffolds.fa,Aspesp34,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PB4102,PB4102,Aspergillus_sp._PB4102_PB4102.proteins.fa,Aspergillus_sp._PB4102_PB4102.scaffolds.fa,Aspesp35,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PB4105,PB4105,Aspergillus_sp._PB4105_PB4105.proteins.fa,Aspergillus_sp._PB4105_PB4105.scaffolds.fa,Aspesp36,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PB4106,PB4106,Aspergillus_sp._PB4106_PB4106.proteins.fa,Aspergillus_sp._PB4106_PB4106.scaffolds.fa,Aspesp37,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PG119-06,PG119-06,Aspergillus_sp._PG119-06_PG119-06.proteins.fa,Aspergillus_sp._PG119-06_PG119-06.scaffolds.fa,Aspesp38,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PG3603,PG3603,Aspergillus_sp._PG3603_PG3603.proteins.fa,Aspergillus_sp._PG3603_PG3603.scaffolds.fa,Aspesp39,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PG3606C,PG3606C,Aspergillus_sp._PG3606C_PG3606C.proteins.fa,Aspergillus_sp._PG3606C_PG3606C.scaffolds.fa,Aspesp40,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PG3606D,PG3606D,Aspergillus_sp._PG3606D_PG3606D.proteins.fa,Aspergillus_sp._PG3606D_PG3606D.scaffolds.fa,Aspesp41,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PG3608,PG3608,Aspergillus_sp._PG3608_PG3608.proteins.fa,Aspergillus_sp._PG3608_PG3608.scaffolds.fa,Aspesp42,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PH2503,PH2503,Aspergillus_sp._PH2503_PH2503.proteins.fa,Aspergillus_sp._PH2503_PH2503.scaffolds.fa,Aspesp43,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PH3601,PH3601,Aspergillus_sp._PH3601_PH3601.proteins.fa,Aspergillus_sp._PH3601_PH3601.scaffolds.fa,Aspesp44,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PK2410,PK2410,Aspergillus_sp._PK2410_PK2410.proteins.fa,Aspergillus_sp._PK2410_PK2410.scaffolds.fa,Aspesp45,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PM3601,PM3601,Aspergillus_sp._PM3601_PM3601.proteins.fa,Aspergillus_sp._PM3601_PM3601.scaffolds.fa,Aspesp46,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PM3602,PM3602,Aspergillus_sp._PM3602_PM3602.proteins.fa,Aspergillus_sp._PM3602_PM3602.scaffolds.fa,Aspesp47,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PM3604,PG3605,Aspergillus_sp._PM3604_PG3605.proteins.fa,Aspergillus_sp._PM3604_PG3605.scaffolds.fa,Aspesp48,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PYS2105,PYS2105,Aspergillus_sp._PYS2105_PYS2105.proteins.fa,Aspergillus_sp._PYS2105_PYS2105.scaffolds.fa,Aspesp49,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PYS4201,S3505,Aspergillus_sp._PYS4201_S3505.proteins.fa,Aspergillus_sp._PYS4201_S3505.scaffolds.fa,Aspesp50,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PYS4240,S1802E,Aspergillus_sp._PYS4240_S1802E.proteins.fa,Aspergillus_sp._PYS4240_S1802E.scaffolds.fa,Aspesp51,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. PYS4241,PYS4240,Aspergillus_sp._PYS4241_PYS4240.proteins.fa,Aspergillus_sp._PYS4241_PYS4240.scaffolds.fa,Aspesp52,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R109-04A,R109-04A,Aspergillus_sp._R109-04A_R109-04A.proteins.fa,Aspergillus_sp._R109-04A_R109-04A.scaffolds.fa,Aspesp53,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R1430,R1430,Aspergillus_sp._R1430_R1430.proteins.fa,Aspergillus_sp._R1430_R1430.scaffolds.fa,Aspesp54,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R2302,R2407,Aspergillus_sp._R2302_R2407.proteins.fa,Aspergillus_sp._R2302_R2407.scaffolds.fa,Aspesp55,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R2305,R3607,Aspergillus_sp._R2305_R3607.proteins.fa,Aspergillus_sp._R2305_R3607.scaffolds.fa,Aspesp56,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R2407,R2305,Aspergillus_sp._R2407_R2305.proteins.fa,Aspergillus_sp._R2407_R2305.scaffolds.fa,Aspesp57,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R2504,S1107B,Aspergillus_sp._R2504_S1107B.proteins.fa,Aspergillus_sp._R2504_S1107B.scaffolds.fa,Aspesp58,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R2506,R2506,Aspergillus_sp._R2506_R2506.proteins.fa,Aspergillus_sp._R2506_R2506.scaffolds.fa,Aspesp59,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R2804,R2804,Aspergillus_sp._R2804_R2804.proteins.fa,Aspergillus_sp._R2804_R2804.scaffolds.fa,Aspesp60,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R3602,R3602,Aspergillus_sp._R3602_R3602.proteins.fa,Aspergillus_sp._R3602_R3602.scaffolds.fa,Aspesp61,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. R3607,F3603,Aspergillus_sp._R3607_F3603.proteins.fa,Aspergillus_sp._R3607_F3603.scaffolds.fa,Aspesp62,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S1107B,PYS4201,Aspergillus_sp._S1107B_PYS4201.proteins.fa,Aspergillus_sp._S1107B_PYS4201.scaffolds.fa,Aspesp63,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S1702,S1702,Aspergillus_sp._S1702_S1702.proteins.fa,Aspergillus_sp._S1702_S1702.scaffolds.fa,Aspesp64,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S1801,PYS4241,Aspergillus_sp._S1801_PYS4241.proteins.fa,Aspergillus_sp._S1801_PYS4241.scaffolds.fa,Aspesp65,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S1802E,R2302,Aspergillus_sp._S1802E_R2302.proteins.fa,Aspergillus_sp._S1802E_R2302.scaffolds.fa,Aspesp66,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S1902Y,PM3604,Aspergillus_sp._S1902Y_PM3604.proteins.fa,Aspergillus_sp._S1902Y_PM3604.scaffolds.fa,Aspesp67,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S1905,S1905,Aspergillus_sp._S1905_S1905.proteins.fa,Aspergillus_sp._S1905_S1905.scaffolds.fa,Aspesp68,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2101G,S2101G,Aspergillus_sp._S2101G_S2101G.proteins.fa,Aspergillus_sp._S2101G_S2101G.scaffolds.fa,Aspesp69,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2103,S2103,Aspergillus_sp._S2103_S2103.proteins.fa,Aspergillus_sp._S2103_S2103.scaffolds.fa,Aspesp70,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2105,S2105,Aspergillus_sp._S2105_S2105.proteins.fa,Aspergillus_sp._S2105_S2105.scaffolds.fa,Aspesp71,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2109,S2109,Aspergillus_sp._S2109_S2109.proteins.fa,Aspergillus_sp._S2109_S2109.scaffolds.fa,Aspesp72,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2111G.1,S2111G.1,Aspergillus_sp._S2111G.1_S2111G.1.proteins.fa,Aspergillus_sp._S2111G.1_S2111G.1.scaffolds.fa,Aspesp73,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2111Y,S2111Y,Aspergillus_sp._S2111Y_S2111Y.proteins.fa,Aspergillus_sp._S2111Y_S2111Y.scaffolds.fa,Aspesp74,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S2805,S2805,Aspergillus_sp._S2805_S2805.proteins.fa,Aspergillus_sp._S2805_S2805.scaffolds.fa,Aspesp75,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S3505,S1801,Aspergillus_sp._S3505_S1801.proteins.fa,Aspergillus_sp._S3505_S1801.scaffolds.fa,Aspesp76,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S3602,S3602,Aspergillus_sp._S3602_S3602.proteins.fa,Aspergillus_sp._S3602_S3602.scaffolds.fa,Aspesp77,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S3605,S3605,Aspergillus_sp._S3605_S3605.proteins.fa,Aspergillus_sp._S3605_S3605.scaffolds.fa,Aspesp78,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S3606,S3606,Aspergillus_sp._S3606_S3606.proteins.fa,Aspergillus_sp._S3606_S3606.scaffolds.fa,Aspesp79,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. S4401N,S4401N,Aspergillus_sp._S4401N_S4401N.proteins.fa,Aspergillus_sp._S4401N_S4401N.scaffolds.fa,Aspesp80,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. subgen. Cremei,IBT 35662,Aspergillus_sp._subgen._Cremei_IBT_35662.proteins.fa,Aspergillus_sp._subgen._Cremei_IBT_35662.scaffolds.fa,Aspesp81,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sp. WHUF0304,WHUF0304,Aspergillus_sp._WHUF0304_WHUF0304.proteins.fa,Aspergillus_sp._WHUF0304_WHUF0304.scaffolds.fa,Aspesp82,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus sparsus,NRRL 1933,Aspergillus_sparsus_NRRL_1933.proteins.fa,Aspergillus_sparsus_NRRL_1933.scaffolds.fa,Aspespar,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus subversicolor,LH_A137,Aspergillus_subversicolor_LH_A137.proteins.fa,Aspergillus_subversicolor_LH_A137.scaffolds.fa,Aspesubv,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus tamarii,VU91,Aspergillus_tamarii_VU91.proteins.fa,Aspergillus_tamarii_VU91.scaffolds.fa,Aspetama,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus texensis,NRRL66858,Aspergillus_texensis_NRRL66858.proteins.fa,Aspergillus_texensis_NRRL66858.scaffolds.fa,Aspetexe,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus texensis,TX-A-6-1-S,Aspergillus_texensis_TX-A-6-1-S.proteins.fa,Aspergillus_texensis_TX-A-6-1-S.scaffolds.fa,Aspetex2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus toxicus,NRRL66898,Aspergillus_toxicus_NRRL66898.proteins.fa,Aspergillus_toxicus_NRRL66898.scaffolds.fa,Aspetoxi,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus ustus,3.3904,Aspergillus_ustus_3.3904.proteins.fa,Aspergillus_ustus_3.3904.scaffolds.fa,Aspeustu,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus ustus,AUSTUSMSU,Aspergillus_ustus_AUSTUSMSU.proteins.fa,Aspergillus_ustus_AUSTUSMSU.scaffolds.fa,Aspeust2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus uvarum,CBS 121591,Aspergillus_uvarum_CBS_121591.proteins.fa,Aspergillus_uvarum_CBS_121591.scaffolds.fa,Aspeuvar,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus uvarum,PG009,Aspergillus_uvarum_PG009.proteins.fa,Aspergillus_uvarum_PG009.scaffolds.fa,Aspeuva2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus verrucosus,NBRC 115547,Aspergillus_verrucosus_NBRC_115547.proteins.fa,Aspergillus_verrucosus_NBRC_115547.scaffolds.fa,Aspeverr,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus violaceofuscus,CBS 115571,Aspergillus_violaceofuscus_CBS_115571.proteins.fa,Aspergillus_violaceofuscus_CBS_115571.scaffolds.fa,Aspeviol,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus vitricola,EXF-10463,Aspergillus_vitricola_EXF-10463.proteins.fa,Aspergillus_vitricola_EXF-10463.scaffolds.fa,Aspevitr,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus vitricola,EXF-15210,Aspergillus_vitricola_EXF-15210.proteins.fa,Aspergillus_vitricola_EXF-15210.scaffolds.fa,Aspevit2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Blastomyces dermatitidis,23166,Blastomyces_dermatitidis_23166.proteins.fa,Blastomyces_dermatitidis_23166.scaffolds.fa,Blasderm,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
Blastomyces dermatitidis,ATCC 18187,Blastomyces_dermatitidis_ATCC_18187.proteins.fa,Blastomyces_dermatitidis_ATCC_18187.scaffolds.fa,Blasder2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
Blastomyces dermatitidis,ATCC 18188,Blastomyces_dermatitidis_ATCC_18188.proteins.fa,Blastomyces_dermatitidis_ATCC_18188.scaffolds.fa,Blasder3,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
Blastomyces dermatitidis,ATCC 26199,Blastomyces_dermatitidis_ATCC_26199.proteins.fa,Blastomyces_dermatitidis_ATCC_26199.scaffolds.fa,Blasder4,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
Blastomyces dermatitidis,ER-3,Blastomyces_dermatitidis_ER-3.proteins.fa,Blastomyces_dermatitidis_ER-3.scaffolds.fa,Blasder5,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
Blastomyces emzantsi,MRL_BACN2,Blastomyces_emzantsi_MRL_BACN2.proteins.fa,Blastomyces_emzantsi_MRL_BACN2.scaffolds.fa,Blasemza,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
Blastomyces emzantsi,MRL_BACN3,Blastomyces_emzantsi_MRL_BACN3.proteins.fa,Blastomyces_emzantsi_MRL_BACN3.scaffolds.fa,Blasemz2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces
